#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296659,26797237,AXJ21_gp002,AXJ21_gp002,JIMMER1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296659,26797238,AXJ21_gp003,AXJ21_gp003,JIMMER1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797239,AXJ21_gp004,AXJ21_gp004,JIMMER1_4,-,-,-,"portal protein, SPP1 family",protein-coding,-,-,-,"portal protein, SPP1 family",20200629,-
1296659,26797240,AXJ21_gp005,AXJ21_gp005,JIMMER1_5,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1296659,26797241,AXJ21_gp006,AXJ21_gp006,JIMMER1_6,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
1296659,26797242,AXJ21_gp007,AXJ21_gp007,JIMMER1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797243,AXJ21_gp008,AXJ21_gp008,JIMMER1_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1296659,26797244,AXJ21_gp009,AXJ21_gp009,JIMMER1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797245,AXJ21_gp010,AXJ21_gp010,JIMMER1_10,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20200629,-
1296659,26797246,AXJ21_gp011,AXJ21_gp011,JIMMER1_11,-,-,-,head joining protein,protein-coding,-,-,-,head joining protein,20200629,-
1296659,26797247,AXJ21_gp012,AXJ21_gp012,JIMMER1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797248,AXJ21_gp013,AXJ21_gp013,JIMMER1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797249,AXJ21_gp014,AXJ21_gp014,JIMMER1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797250,AXJ21_gp015,AXJ21_gp015,JIMMER1_15,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1296659,26797251,AXJ21_gp016,AXJ21_gp016,JIMMER1_16,-,-,-,core tail protein,protein-coding,-,-,-,core tail protein,20200629,-
1296659,26797252,AXJ21_gp017,AXJ21_gp017,JIMMER1_17,-,-,-,DNA binding/transcriptional regulator,protein-coding,-,-,-,DNA binding/transcriptional regulator,20200629,-
1296659,26797253,AXJ21_gp018,AXJ21_gp018,JIMMER1_18,-,-,-,DNA binding/transcriptional regulator,protein-coding,-,-,-,DNA binding/transcriptional regulator,20200629,-
1296659,26797254,AXJ21_gp019,AXJ21_gp019,JIMMER1_19,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20200629,-
1296659,26797255,AXJ21_gp020,AXJ21_gp020,JIMMER1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797256,AXJ21_gp021,AXJ21_gp021,JIMMER1_21,-,-,-,phage xKdn-like protein,protein-coding,-,-,-,phage xKdn-like protein,20200629,-
1296659,26797257,AXJ21_gp022,AXJ21_gp022,JIMMER1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797258,AXJ21_gp023,AXJ21_gp023,JIMMER1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797259,AXJ21_gp024,AXJ21_gp024,JIMMER1_24,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1296659,26797260,AXJ21_gp025,AXJ21_gp025,JIMMER1_25,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1296659,26797261,AXJ21_gp026,AXJ21_gp026,JIMMER1_26,-,-,-,late control D protein,protein-coding,-,-,-,late control D protein,20200629,-
1296659,26797262,AXJ21_gp027,AXJ21_gp027,JIMMER1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797263,AXJ21_gp028,AXJ21_gp028,JIMMER1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296659,26797264,AXJ21_gp029,AXJ21_gp029,JIMMER1_29,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20200629,-
