#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610835,26631419,AVT67_gp46,AVT67_gp46,SU552A_46,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1610835,26631420,AVT67_gp45,AVT67_gp45,SU552A_45,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201221,-
1610835,26631421,AVT67_gp35,AVT67_gp35,SU552A_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631422,AVT67_gp19,AVT67_gp19,SU552A_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631423,AVT67_gp47,AVT67_gp47,SU552A_47,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20201221,-
1610835,26631424,AVT67_gp43,AVT67_gp43,SU552A_43,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
1610835,26631425,AVT67_gp49,AVT67_gp49,SU552A_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631426,AVT67_gp10,AVT67_gp10,SU552A_10,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20201221,-
1610835,26631427,AVT67_gp38,AVT67_gp38,SU552A_38,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1610835,26631428,AVT67_gp17,AVT67_gp17,SU552A_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631429,AVT67_gp11,AVT67_gp11,SU552A_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631430,AVT67_gp21,AVT67_gp21,SU552A_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631431,AVT67_gp40,AVT67_gp40,SU552A_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631432,AVT67_gp30,AVT67_gp30,SU552A_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631433,AVT67_gp39,AVT67_gp39,SU552A_39,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1610835,26631434,AVT67_gp23,AVT67_gp23,SU552A_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631435,AVT67_gp14,AVT67_gp14,SU552A_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631436,AVT67_gp54,AVT67_gp54,SU552A_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631437,AVT67_gp44,AVT67_gp44,SU552A_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631438,AVT67_gp03,AVT67_gp03,SU552A_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631439,AVT67_gp42,AVT67_gp42,SU552A_42,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1610835,26631440,AVT67_gp33,AVT67_gp33,SU552A_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1610835,26631441,AVT67_gp12,AVT67_gp12,SU552A_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631442,AVT67_gp36,AVT67_gp36,SU552A_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631443,AVT67_gp32,AVT67_gp32,SU552A_32,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210116,-
1610835,26631444,AVT67_gp52,AVT67_gp52,SU552A_52,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1610835,26631445,AVT67_gp26,AVT67_gp26,SU552A_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631446,AVT67_gp50,AVT67_gp50,SU552A_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631447,AVT67_gp09,AVT67_gp09,SU552A_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631448,AVT67_gp34,AVT67_gp34,SU552A_34,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20201221,-
1610835,26631449,AVT67_gp48,AVT67_gp48,SU552A_48,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
1610835,26631450,AVT67_gp25,AVT67_gp25,SU552A_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631451,AVT67_gp06,AVT67_gp06,SU552A_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631452,AVT67_gp37,AVT67_gp37,SU552A_37,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1610835,26631453,AVT67_gp24,AVT67_gp24,SU552A_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631454,AVT67_gp53,AVT67_gp53,SU552A_53,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1610835,26631455,AVT67_gp05,AVT67_gp05,SU552A_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631456,AVT67_gp08,AVT67_gp08,SU552A_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631457,AVT67_gp20,AVT67_gp20,SU552A_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631458,AVT67_gp13,AVT67_gp13,SU552A_13,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1610835,26631459,AVT67_gp02,AVT67_gp02,SU552A_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631460,AVT67_gp31,AVT67_gp31,SU552A_31,-,-,-,putative DNA endonuclease VII,protein-coding,-,-,-,putative DNA endonuclease VII,20210116,-
1610835,26631461,AVT67_gp28,AVT67_gp28,SU552A_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631462,AVT67_gp16,AVT67_gp16,SU552A_16,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1610835,26631463,AVT67_gp15,AVT67_gp15,SU552A_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631464,AVT67_gp41,AVT67_gp41,SU552A_41,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1610835,26631465,AVT67_gp51,AVT67_gp51,SU552A_51,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201221,-
1610835,26631466,AVT67_gp07,AVT67_gp07,SU552A_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631467,AVT67_gp22,AVT67_gp22,SU552A_22,-,-,-,large tegument protein,protein-coding,-,-,-,large tegument protein,20201221,-
1610835,26631468,AVT67_gp27,AVT67_gp27,SU552A_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631469,AVT67_gp29,AVT67_gp29,SU552A_29,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20201221,-
1610835,26631470,AVT67_gp18,AVT67_gp18,SU552A_18,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1610835,26631471,AVT67_gp04,AVT67_gp04,SU552A_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26631472,AVT67_gp01,AVT67_gp01,SU552A_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610835,26680748,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
