#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
221915,3293517,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K; Staphylococcus aureus phage K; Staphylococcus phage K).,other,-,-,-,-,20200513,-
221915,19621957,CPT_phageK_gp154,CPT_phageK_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621958,CPT_phageK_gp153,CPT_phageK_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19621959,CPT_phageK_gp152,CPT_phageK_gp152,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210212,-
221915,19621960,CPT_phageK_gp151,CPT_phageK_gp151,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210320,-
221915,19621961,CPT_phageK_gp150,CPT_phageK_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621962,CPT_phageK_gp149,CPT_phageK_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621963,CPT_phageK_gp148,CPT_phageK_gp148,-,-,-,-,DUF4815 domain-containing protein,protein-coding,-,-,-,DUF4815 domain-containing protein,20201220,-
221915,19621964,CPT_phageK_gp147,CPT_phageK_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621965,CPT_phageK_gp146,CPT_phageK_gp146,-,-,-,-,putative carbohydrate-binding domain protein,protein-coding,-,-,-,putative carbohydrate-binding domain protein,20201220,-
221915,19621966,CPT_phageK_gp145,CPT_phageK_gp145,-,-,-,-,DUF2977 domain-containing protein,protein-coding,-,-,-,DUF2977 domain-containing protein,20201220,-
221915,19621967,CPT_phageK_gp144,CPT_phageK_gp144,-,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20200909,-
221915,19621968,CPT_phageK_gp143,CPT_phageK_gp143,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201220,-
221915,19621969,CPT_phageK_gp142,CPT_phageK_gp142,-,-,-,-,putative winged helix domain protein,protein-coding,-,-,-,putative winged helix domain protein,20201220,-
221915,19621970,CPT_phageK_gp141,CPT_phageK_gp141,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
221915,19621971,CPT_phageK_gp140,CPT_phageK_gp140,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210212,-
221915,19621972,CPT_phageK_gp139,CPT_phageK_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621973,CPT_phageK_gp138,CPT_phageK_gp138,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
221915,19621974,CPT_phageK_gp137,CPT_phageK_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621975,CPT_phageK_gp136,CPT_phageK_gp136,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20210212,-
221915,19621976,CPT_phageK_gp135,CPT_phageK_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621977,CPT_phageK_gp134,CPT_phageK_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621978,CPT_phageK_gp133,CPT_phageK_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
221915,19621979,CPT_phageK_gp132,CPT_phageK_gp132,-,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,protein-coding,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,20210320,-
221915,19621980,CPT_phageK_gp131,CPT_phageK_gp131,-,-,-,-,putative ribonucleotide reductase large subunit,protein-coding,-,-,-,putative ribonucleotide reductase large subunit,20200909,-
221915,19621981,CPT_phageK_gp130,CPT_phageK_gp130,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210212,-
221915,19621982,CPT_phageK_gp129,CPT_phageK_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621983,CPT_phageK_gp128,CPT_phageK_gp128,-,-,-,-,thiol reductase thioredoxin,protein-coding,-,-,-,thiol reductase thioredoxin,20210320,-
221915,19621984,CPT_phageK_gp127,CPT_phageK_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621985,CPT_phageK_gp126,CPT_phageK_gp126,-,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210212,-
221915,19621986,CPT_phageK_gp125,CPT_phageK_gp125,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210320,-
221915,19621987,CPT_phageK_gp124,CPT_phageK_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621988,CPT_phageK_gp123,CPT_phageK_gp123,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
221915,19621989,CPT_phageK_gp122,CPT_phageK_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621990,CPT_phageK_gp121,CPT_phageK_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
221915,19621991,CPT_phageK_gp120,CPT_phageK_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621992,CPT_phageK_gp119,CPT_phageK_gp119,-,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20210212,-
221915,19621993,CPT_phageK_gp118,CPT_phageK_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621994,CPT_phageK_gp117,CPT_phageK_gp117,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210212,-
221915,19621995,CPT_phageK_gp116,CPT_phageK_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19621996,CPT_phageK_gp115,CPT_phageK_gp115,-,-,-,-,putative bacterial adhesin/Ig-like protein,protein-coding,-,-,-,putative bacterial adhesin/Ig-like protein,20200629,-
221915,19621997,CPT_phageK_gp114,CPT_phageK_gp114,-,-,-,-,ORF189,protein-coding,-,-,-,ORF189,20201220,-
221915,19621998,CPT_phageK_gp113,CPT_phageK_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19621999,CPT_phageK_gp112,CPT_phageK_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622000,CPT_phageK_gp111,CPT_phageK_gp111,-,-,-,-,putative metallophosphatase,protein-coding,-,-,-,putative metallophosphatase,20200629,-
221915,19622001,CPT_phageK_gp110,CPT_phageK_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622002,CPT_phageK_gp109,CPT_phageK_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622003,CPT_phageK_gp108,CPT_phageK_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622004,CPT_phageK_gp107,CPT_phageK_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
221915,19622005,CPT_phageK_gp106,CPT_phageK_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622006,CPT_phageK_gp105,CPT_phageK_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622007,CPT_phageK_gp104,CPT_phageK_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622008,CPT_phageK_gp103,CPT_phageK_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622009,CPT_phageK_gp102,CPT_phageK_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
221915,19622010,CPT_phageK_gp101,CPT_phageK_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622011,CPT_phageK_gp100,CPT_phageK_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
221915,19622012,CPT_phageK_gp099,CPT_phageK_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622013,CPT_phageK_gp098,CPT_phageK_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622014,CPT_phageK_gp097,CPT_phageK_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622015,CPT_phageK_gp096,CPT_phageK_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622016,CPT_phageK_gp095,CPT_phageK_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622017,CPT_phageK_gp094,CPT_phageK_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622018,CPT_phageK_gp093,CPT_phageK_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622019,CPT_phageK_gp092,CPT_phageK_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622020,CPT_phageK_gp091,CPT_phageK_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622021,CPT_phageK_gp090,CPT_phageK_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622022,CPT_phageK_gp089,CPT_phageK_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622023,CPT_phageK_gp088,CPT_phageK_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622024,CPT_phageK_gp087,CPT_phageK_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622025,CPT_phageK_gp086,CPT_phageK_gp086,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200629,-
221915,19622026,CPT_phageK_gp085,CPT_phageK_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622027,CPT_phageK_gp084,CPT_phageK_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622028,CPT_phageK_gp083,CPT_phageK_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
221915,19622029,CPT_phageK_gp082,CPT_phageK_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
221915,19622030,CPT_phageK_gp081,CPT_phageK_gp081,-,-,-,-,putative basic-leucine zipper domain protein,protein-coding,-,-,-,putative basic-leucine zipper domain protein,20200629,-
