#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
31754,921252,BK5-Tp07,BK5-Tp07,-,-,-,-,major structural protein,protein-coding,-,-,-,major structural protein,20201220,-
31754,921253,BK5-Tp58,BK5-Tp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921254,BK5-Tp43,BK5-Tp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921255,BK5-Tp56,BK5-Tp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921256,BK5-Tp02,BK5-Tp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
31754,921257,BK5-Tp51,BK5-Tp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921258,BK5-Tp44,BK5-Tp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921259,BK5-Tp01,BK5-Tp01,-,-,-,-,terminase small subunit P27 family,protein-coding,-,-,-,terminase small subunit P27 family,20201220,-
31754,921260,BK5-Tp50,BK5-Tp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921261,BK5-Tp59,BK5-Tp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921262,BK5-Tp21,BK5-Tp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921263,BK5-Tp52,BK5-Tp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921264,BK5-Tp46,BK5-Tp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921265,BK5-Tp47,BK5-Tp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921266,BK5-Tp45,BK5-Tp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921267,BK5-Tp40,BK5-Tp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921268,BK5-Tp16,BK5-Tp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921269,BK5-Tp53,BK5-Tp53,-,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20201220,-
31754,921270,BK5-Tp04,BK5-Tp04,-,-,-,-,DUF1056 family protein,protein-coding,-,-,-,DUF1056 family protein,20201220,-
31754,921271,BK5-Tp54,BK5-Tp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31754,921272,BK5-Tp63,BK5-Tp63,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
31754,921273,BK5-Tp48,BK5-Tp48,-,-,-,-,putative single stranded DNA binding protein,protein-coding,-,-,-,putative single stranded DNA binding protein,20201220,-
31754,921274,BK5-Tp61,BK5-Tp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
