#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126734,54989995,HOS99_gp002,HOS99_gp002,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20210403,-
2126734,54989996,HOS99_gp003,HOS99_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54989997,HOS99_gp004,HOS99_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54989998,HOS99_gp005,HOS99_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54989999,HOS99_gp006,HOS99_gp006,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2126734,54990000,HOS99_gp007,HOS99_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990001,HOS99_gp008,HOS99_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990002,HOS99_gp009,HOS99_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990003,HOS99_gp010,HOS99_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990004,HOS99_gp011,HOS99_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990005,HOS99_gp012,HOS99_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990006,HOS99_gp013,HOS99_gp013,-,-,-,-,major tail sheath,protein-coding,-,-,-,major tail sheath,20201221,-
2126734,54990007,HOS99_gp014,HOS99_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990008,HOS99_gp015,HOS99_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990009,HOS99_gp016,HOS99_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990010,HOS99_gp017,HOS99_gp017,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210403,-
2126734,54990011,HOS99_gp018,HOS99_gp018,-,-,-,-,secretory antigen SsaA-like protein,protein-coding,-,-,-,secretory antigen SsaA-like protein,20210403,-
2126734,54990012,HOS99_gp019,HOS99_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990013,HOS99_gp020,HOS99_gp020,-,-,-,-,glycerophosphoryl diester phosphodiesterase,protein-coding,-,-,-,glycerophosphoryl diester phosphodiesterase,20210403,-
2126734,54990014,HOS99_gp021,HOS99_gp021,-,-,-,-,extracellular serine protease,protein-coding,-,-,-,extracellular serine protease,20210403,-
2126734,54990015,HOS99_gp022,HOS99_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990016,HOS99_gp023,HOS99_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990017,HOS99_gp024,HOS99_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990018,HOS99_gp025,HOS99_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990019,HOS99_gp026,HOS99_gp026,-,-,-,-,baseplate,protein-coding,-,-,-,baseplate,20210403,-
2126734,54990020,HOS99_gp027,HOS99_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990021,HOS99_gp028,HOS99_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990022,HOS99_gp029,HOS99_gp029,-,-,-,-,virulence-associated protein,protein-coding,-,-,-,virulence-associated protein,20210403,-
2126734,54990023,HOS99_gp030,HOS99_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990024,HOS99_gp031,HOS99_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990025,HOS99_gp032,HOS99_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990026,HOS99_gp033,HOS99_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990027,HOS99_gp034,HOS99_gp034,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2126734,54990028,HOS99_gp035,HOS99_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990029,HOS99_gp036,HOS99_gp036,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2126734,54990030,HOS99_gp037,HOS99_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990031,HOS99_gp038,HOS99_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990032,HOS99_gp039,HOS99_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990033,HOS99_gp040,HOS99_gp040,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20210403,-
2126734,54990034,HOS99_gp041,HOS99_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990035,HOS99_gp042,HOS99_gp042,-,-,-,-,recombination related exonuclease,protein-coding,-,-,-,recombination related exonuclease,20210403,-
2126734,54990036,HOS99_gp043,HOS99_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990037,HOS99_gp044,HOS99_gp044,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2126734,54990038,HOS99_gp045,HOS99_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990039,HOS99_gp046,HOS99_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990040,HOS99_gp047,HOS99_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990041,HOS99_gp048,HOS99_gp048,-,-,-,-,ribonucleotide reduction protein NrdI,protein-coding,-,-,-,ribonucleotide reduction protein NrdI,20210403,-
2126734,54990042,HOS99_gp049,HOS99_gp049,-,-,-,-,"ribonucleotide reductase of class Ib (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ib (aerobic), alpha subunit",20210403,-
2126734,54990043,HOS99_gp050,HOS99_gp050,-,-,-,-,"ribonucleotide reductase of class Ib (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ib (aerobic), beta subunit",20210403,-
2126734,54990044,HOS99_gp051,HOS99_gp051,-,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210403,-
2126734,54990045,HOS99_gp052,HOS99_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990046,HOS99_gp053,HOS99_gp053,-,-,-,-,integration host factor,protein-coding,-,-,-,integration host factor,20210403,-
2126734,54990047,HOS99_gp054,HOS99_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990048,HOS99_gp055,HOS99_gp055,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2126734,54990049,HOS99_gp056,HOS99_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990050,HOS99_gp057,HOS99_gp057,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2126734,54990051,HOS99_gp058,HOS99_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990052,HOS99_gp059,HOS99_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990053,HOS99_gp060,HOS99_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990054,HOS99_gp061,HOS99_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990055,HOS99_gp062,HOS99_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990056,HOS99_gp063,HOS99_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990057,HOS99_gp064,HOS99_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990058,HOS99_gp065,HOS99_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990059,HOS99_gp066,HOS99_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126734,54990060,HOS99_gp067,HOS99_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126734,54990061,HOS99_gp068,HOS99_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
