#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2662297,55814351,HYQ06_gp02,HYQ06_gp02,-,-,-,-,adenine-specific methyltransferase,protein-coding,-,-,-,adenine-specific methyltransferase,20210424,-
2662297,55814352,HYQ06_gp03,HYQ06_gp03,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200912,-
2662297,55814353,HYQ06_gp04,HYQ06_gp04,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200912,-
2662297,55814354,HYQ06_gp05,HYQ06_gp05,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2662297,55814355,HYQ06_gp06,HYQ06_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201217,-
2662297,55814356,HYQ06_gp07,HYQ06_gp07,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2662297,55814357,HYQ06_gp08,HYQ06_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814358,HYQ06_gp09,HYQ06_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814359,HYQ06_gp10,HYQ06_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814360,HYQ06_gp11,HYQ06_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814361,HYQ06_gp12,HYQ06_gp12,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210424,-
2662297,55814362,HYQ06_gp13,HYQ06_gp13,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200912,-
2662297,55814363,HYQ06_gp14,HYQ06_gp14,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2662297,55814364,HYQ06_gp15,HYQ06_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814365,HYQ06_gp16,HYQ06_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814366,HYQ06_gp17,HYQ06_gp17,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210424,-
2662297,55814367,HYQ06_gp18,HYQ06_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814368,HYQ06_gp19,HYQ06_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662297,55814369,HYQ06_gp20,HYQ06_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814370,HYQ06_gp21,HYQ06_gp21,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200912,-
2662297,55814371,HYQ06_gp22,HYQ06_gp22,-,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2662297,55814372,HYQ06_gp23,HYQ06_gp23,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200912,-
2662297,55814373,HYQ06_gp24,HYQ06_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662297,55814374,HYQ06_gp25,HYQ06_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
