#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1154995,14013613,F419_gp02,F419_gp02,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1154995,14013614,F419_gp03,F419_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013615,F419_gp04,F419_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013616,F419_gp05,F419_gp05,-,-,-,-,putative phage replication protein,protein-coding,-,-,-,putative phage replication protein,20201221,-
1154995,14013617,F419_gp06,F419_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013618,F419_gp07,F419_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013619,F419_gp08,F419_gp08,-,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20201221,-
1154995,14013620,F419_gp09,F419_gp09,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1154995,14013621,F419_gp10,F419_gp10,-,-,-,-,putative chromosome segregation protein,protein-coding,-,-,-,putative chromosome segregation protein,20201221,-
1154995,14013622,F419_gp11,F419_gp11,-,-,-,-,JHP1044-like mosaic region protein,protein-coding,-,-,-,JHP1044-like mosaic region protein,20201221,-
1154995,14013623,F419_gp12,F419_gp12,-,-,-,-,JHP1044-like mosaic region protein,protein-coding,-,-,-,JHP1044-like mosaic region protein,20201221,-
1154995,14013624,F419_gp13,F419_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013625,F419_gp14,F419_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013626,F419_gp15,F419_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013627,F419_gp16,F419_gp16,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013628,F419_gp17,F419_gp17,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013629,F419_gp18,F419_gp18,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013630,F419_gp19,F419_gp19,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013631,F419_gp20,F419_gp20,-,-,-,-,putative phage portal protein,protein-coding,-,-,-,putative phage portal protein,20201221,-
1154995,14013632,F419_gp21,F419_gp21,-,-,-,-,terminsae large subunit,protein-coding,-,-,-,terminsae large subunit,20201221,-
1154995,14013633,F419_gp22,F419_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013634,F419_gp23,F419_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013635,F419_gp24,F419_gp24,-,-,-,-,phage holin3 superfamily protein,protein-coding,-,-,-,phage holin3 superfamily protein,20201221,-
1154995,14013636,F419_gp25,F419_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013637,F419_gp26,F419_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013638,F419_gp27,F419_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013639,F419_gp28,F419_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013640,F419_gp29,F419_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013641,F419_gp30,F419_gp30,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013642,F419_gp31,F419_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14013643,F419_gp32,F419_gp32,-,-,-,-,phage structure protein,protein-coding,-,-,-,phage structure protein,20201221,-
1154995,14013644,F419_gp33,F419_gp33,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1154995,14013645,F419_gp01,F419_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1154995,14023590,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Helicobacter pylori phage 1961P).,other,-,-,-,-,20200513,-
