#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1640969,26635826,AVU27_gp02,AVU27_gp02,-,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20201221,-
1640969,26635827,AVU27_gp03,AVU27_gp03,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1640969,26635828,AVU27_gp04,AVU27_gp04,-,-,-,-,portal (connector) protein,protein-coding,-,-,-,portal (connector) protein,20201221,-
1640969,26635829,AVU27_gp05,AVU27_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635830,AVU27_gp06,AVU27_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1640969,26635831,AVU27_gp07,AVU27_gp07,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1640969,26635832,AVU27_gp08,AVU27_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635833,AVU27_gp09,AVU27_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635834,AVU27_gp10,AVU27_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635835,AVU27_gp11,AVU27_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635836,AVU27_gp12,AVU27_gp12,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210123,-
1640969,26635837,AVU27_gp13,AVU27_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635838,AVU27_gp14,AVU27_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635839,AVU27_gp15,AVU27_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635840,AVU27_gp16,AVU27_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635841,AVU27_gp17,AVU27_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635842,AVU27_gp18,AVU27_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635843,AVU27_gp19,AVU27_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635844,AVU27_gp20,AVU27_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635845,AVU27_gp21,AVU27_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635846,AVU27_gp22,AVU27_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635847,AVU27_gp23,AVU27_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635848,AVU27_gp24,AVU27_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635849,AVU27_gp25,AVU27_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635850,AVU27_gp26,AVU27_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635851,AVU27_gp27,AVU27_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635852,AVU27_gp28,AVU27_gp28,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210327,-
1640969,26635853,AVU27_gp29,AVU27_gp29,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201221,-
1640969,26635854,AVU27_gp30,AVU27_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635855,AVU27_gp31,AVU27_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635856,AVU27_gp32,AVU27_gp32,-,-,-,-,helix-destabilizing protein,protein-coding,-,-,-,helix-destabilizing protein,20201221,-
1640969,26635857,AVU27_gp33,AVU27_gp33,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1640969,26635858,AVU27_gp34,AVU27_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635859,AVU27_gp35,AVU27_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635860,AVU27_gp36,AVU27_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635861,AVU27_gp37,AVU27_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635862,AVU27_gp38,AVU27_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635863,AVU27_gp39,AVU27_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635864,AVU27_gp40,AVU27_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635865,AVU27_gp41,AVU27_gp41,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1640969,26635866,AVU27_gp42,AVU27_gp42,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1640969,26635867,AVU27_gp43,AVU27_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635868,AVU27_gp44,AVU27_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635869,AVU27_gp45,AVU27_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635870,AVU27_gp46,AVU27_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635871,AVU27_gp47,AVU27_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635872,AVU27_gp48,AVU27_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1640969,26635873,AVU27_gp49,AVU27_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
