#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
551895,6779462,phiPLPE_25,phiPLPE_25,-,-,-,-,gp25 putative head protein,protein-coding,-,-,-,gp25 putative head protein,20201220,-
551895,6779463,phiPLPE_62,phiPLPE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779464,terL,phiPLPE_18,-,-,-,-,large subunit terminase TerL,protein-coding,-,-,-,large subunit terminase TerL,20201220,-
551895,6779465,phiPLPE_01,phiPLPE_01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779466,ant,phiPLPE_10,-,-,-,-,anti-repressor Ant,protein-coding,-,-,-,anti-repressor Ant,20201220,-
551895,6779467,phiPLPE_51,phiPLPE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779468,phiPLPE_08,phiPLPE_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779469,phiPLPE_68,phiPLPE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779470,phiPLPE_43,phiPLPE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779471,phiPLPE_26,phiPLPE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779472,phiPLPE_04,phiPLPE_04,-,-,-,-,gp04 putative replication protein,protein-coding,-,-,-,gp04 putative replication protein,20201220,-
551895,6779473,phiPLPE_12,phiPLPE_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779474,phiPLPE_81,phiPLPE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779475,phiPLPE_46,phiPLPE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779476,phiPLPE_23,phiPLPE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779477,phiPLPE_66,phiPLPE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779478,phiPLPE_16,phiPLPE_16,-,-,-,-,gp16 putative lysis protein/holin,protein-coding,-,-,-,gp16 putative lysis protein/holin,20201220,-
551895,6779479,phiPLPE_58,phiPLPE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779480,phiPLPE_75,phiPLPE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779481,phiPLPE_56,phiPLPE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779482,phiPLPE_73,phiPLPE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779483,phiPLPE_34,phiPLPE_34,-,-,-,-,gp34 virion protein,protein-coding,-,-,-,gp34 virion protein,20201220,-
551895,6779484,phiPLPE_64,phiPLPE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779485,phiPLPE_44,phiPLPE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779486,phiPLPE_63,phiPLPE_63,-,-,-,-,gp63 tail-fiber protein,protein-coding,-,-,-,gp63 tail-fiber protein,20201220,-
551895,6779487,rdgC,phiPLPE_76,-,-,-,-,putative exonuclease RdgC,protein-coding,-,-,-,putative exonuclease RdgC,20201220,-
551895,6779488,phiPLPE_53,phiPLPE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779489,phiPLPE_20,phiPLPE_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779490,phiPLPE_82,phiPLPE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779491,phiPLPE_55,phiPLPE_55,-,-,-,-,gp55 putative tail-fiber/lysozyme protein,protein-coding,-,-,-,gp55 putative tail-fiber/lysozyme protein,20201220,-
551895,6779492,phiPLPE_06,phiPLPE_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779493,phiPLPE_32,phiPLPE_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779494,phiPLPE_38,phiPLPE_38,-,-,-,-,gp38 putative tail-fiber protein,protein-coding,-,-,-,gp38 putative tail-fiber protein,20201220,-
551895,6779495,phiPLPE_69,phiPLPE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779496,phiPLPE_28,phiPLPE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
551895,6779497,phiPLPE_15,phiPLPE_15,-,-,-,-,gp15 putative lysozyme,protein-coding,-,-,-,gp15 putative lysozyme,20201220,-
