#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722417,26041284,APL47_gp002,APL47_gp002,CPT_0002,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722417,26041285,APL47_gp003,APL47_gp003,CPT_0003c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041286,APL47_gp004,APL47_gp004,CPT_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041287,APL47_gp005,APL47_gp005,CPT_0005,-,-,-,Putative phage DNA topoisomerase (large subunit),protein-coding,-,-,-,Putative phage DNA topoisomerase (large subunit),20201220,-
722417,26041288,APL47_gp006,APL47_gp006,CPT_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041289,APL47_gp007,APL47_gp007,CPT_0007,-,-,-,hypothetical phage protein (possible dUTP pyrophosphatase),protein-coding,-,-,-,hypothetical phage protein (possible dUTP pyrophosphatase),20200629,-
722417,26041290,APL47_gp008,APL47_gp008,CPT_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041291,APL47_gp009,APL47_gp009,CPT_0009,-,-,-,Putative DNA primase subunit,protein-coding,-,-,-,Putative DNA primase subunit,20200629,-
722417,26041292,APL47_gp010,APL47_gp010,CPT_0010,-,-,-,Putative DNA polymerase accessory factor (sliding clamp loader),protein-coding,-,-,-,Putative DNA polymerase accessory factor (sliding clamp loader),20200629,-
722417,26041293,APL47_gp011,APL47_gp011,CPT_0011,-,-,-,Putative phage RNase H,protein-coding,-,-,-,Putative phage RNase H,20200629,-
722417,26041294,APL47_gp012,APL47_gp012,CPT_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041295,APL47_gp013,APL47_gp013,CPT_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041296,APL47_gp014,APL47_gp014,CPT_0014,-,-,-,Putative base plate hub subunit protein,protein-coding,-,-,-,Putative base plate hub subunit protein,20200629,-
722417,26041297,APL47_gp015,APL47_gp015,CPT_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041298,APL47_gp016,APL47_gp016,CPT_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041299,APL47_gp017,APL47_gp017,CPT_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722417,26041300,APL47_gp018,APL47_gp018,CPT_0018,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
