#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458846,18506329,2,CG97_gp02,PBI_RHYNO_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200719,-
1458846,18506330,3,CG97_gp03,PBI_RHYNO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506331,4,CG97_gp04,PBI_RHYNO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506332,5,CG97_gp05,PBI_RHYNO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506333,6,CG97_gp06,PBI_RHYNO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506334,7,CG97_gt01,PBI_RHYNO_7,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1458846,18506335,8,CG97_gt02,PBI_RHYNO_8,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1458846,18506336,9,CG97_gp73,PBI_RHYNO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506337,1,CG97_gp01,PBI_RHYNO_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200719,-
1458846,18506338,10,CG97_gp72,PBI_RHYNO_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1458846,18506339,11,CG97_gp71,PBI_RHYNO_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200719,-
1458846,18506340,12,CG97_gp70,PBI_RHYNO_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200719,-
1458846,18506341,13,CG97_gp69,PBI_RHYNO_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200719,-
1458846,18506342,14,CG97_gp68,PBI_RHYNO_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1458846,18506343,15,CG97_gp67,PBI_RHYNO_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1458846,18506344,16,CG97_gp66,PBI_RHYNO_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1458846,18506345,17,CG97_gp65,PBI_RHYNO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506346,18,CG97_gp64,PBI_RHYNO_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1458846,18506347,19,CG97_gp63,PBI_RHYNO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506348,20,CG97_gp62,PBI_RHYNO_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
1458846,18506349,21,CG97_gp61,PBI_RHYNO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506350,22,CG97_gp60,PBI_RHYNO_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1458846,18506351,23,CG97_gp59,PBI_RHYNO_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1458846,18506352,25,CG97_gp57,PBI_RHYNO_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200719,-
1458846,18506353,26,CG97_gp56,PBI_RHYNO_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1458846,18506354,24,CG97_gp58,PBI_RHYNO_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200719,-
1458846,18506355,27,CG97_gp55,PBI_RHYNO_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506356,28,CG97_gp54,PBI_RHYNO_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506357,29,CG97_gp53,PBI_RHYNO_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506358,30,CG97_gp52,PBI_RHYNO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506359,31,CG97_gp51,PBI_RHYNO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506360,32,CG97_gp50,PBI_RHYNO_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506361,33,CG97_gp49,PBI_RHYNO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506362,34,CG97_gp48,PBI_RHYNO_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1458846,18506363,35,CG97_gp47,PBI_RHYNO_35,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200719,-
1458846,18506364,36,CG97_gp46,PBI_RHYNO_36,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200719,-
1458846,18506365,37,CG97_gp45,PBI_RHYNO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506366,38,CG97_gp44,PBI_RHYNO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506367,39,CG97_gp43,PBI_RHYNO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506368,40,CG97_gp42,PBI_RHYNO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506369,41,CG97_gp41,PBI_RHYNO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506370,42,CG97_gp40,PBI_RHYNO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506371,43,CG97_gp39,PBI_RHYNO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506372,44,CG97_gp38,PBI_RHYNO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458846,18506373,45,CG97_gp37,PBI_RHYNO_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200719,-
1458846,18506374,46,CG97_gp36,PBI_RHYNO_46,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200719,-
1458846,18506375,47,CG97_gp35,PBI_RHYNO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
