#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701810,26647186,CPT_Margaery2,CPT_Margaery2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1701810,26647187,CPT_Margaery3,CPT_Margaery3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647188,CPT_Margaery4,CPT_Margaery4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647189,CPT_Margaery5,CPT_Margaery5,-,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20200910,-
1701810,26647190,CPT_Margaery6,CPT_Margaery6,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20200910,-
1701810,26647191,CPT_Margaery7,CPT_Margaery7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647192,CPT_Margaery8,CPT_Margaery8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647193,CPT_Margaery9,CPT_Margaery9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647194,CPT_Margaery10,CPT_Margaery10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647195,CPT_Margaery11,CPT_Margaery11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647196,CPT_Margaery12,CPT_Margaery12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647197,CPT_Margaery13,CPT_Margaery13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647198,CPT_Margaery14,CPT_Margaery14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647199,CPT_Margaery15,CPT_Margaery15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647200,CPT_Margaery16,CPT_Margaery16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647201,CPT_Margaery17,CPT_Margaery17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647202,CPT_Margaery18,CPT_Margaery18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647203,CPT_Margaery19,CPT_Margaery19,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
1701810,26647204,CPT_Margaery20,CPT_Margaery20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1701810,26647205,CPT_Margaery21,CPT_Margaery21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
