#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
190061,1476560,L1,FAdVAgp12,-,-,-,-,L1 52K;envelope protein,protein-coding,-,-,-,L1 52K;envelope protein,20201220,-
190061,1476561,L2,FAdVAgp13,-,-,-,-,hypothetical protein;major core protein;penton base,protein-coding,-,-,-,hypothetical protein;major core protein;penton base,20201220,-
190061,1476562,L3,FAdVAgp14,-,-,-,-,L3 hexon;L3 protease;minor capsid protein precursor,protein-coding,-,-,-,L3 hexon;L3 protease;minor capsid protein precursor,20201220,-
190061,1476563,L4,FAdVAgp16,-,-,-,-,Late 33 kDa protein fragment;hexon assembly-associated protein;hypothetical protein,protein-coding,-,-,-,Late 33 kDa protein fragment;hexon assembly-associated protein;hypothetical protein,20201220,-
190061,1476564,L5,FAdVAgp17,-,-,-,-,fiber protein;short fiber protein,protein-coding,-,-,-,fiber protein;short fiber protein,20201220,-
190061,1733455,FAdVAgp26,FAdVAgp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733456,FAdVAgp08,FAdVAgp08,-,-,-,-,maturation protein,protein-coding,-,-,-,maturation protein,20201220,-
190061,1733457,FAdVAgp22,FAdVAgp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733458,FAdVAgp28,FAdVAgp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733459,FAdVAgp21,FAdVAgp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733460,FAdVAgp24,FAdVAgp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733461,FAdVAgp07,FAdVAgp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733462,FAdVAgp19,FAdVAgp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733463,FAdVAgp20,FAdVAgp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733464,FAdVAgp01,FAdVAgp01,-,-,-,-,dUTP pyrophosphatase,protein-coding,-,-,-,dUTP pyrophosphatase,20201220,-
190061,1733465,FAdVAgp11,FAdVAgp11,-,-,-,-,pre-terminal protein,protein-coding,-,-,-,pre-terminal protein,20201220,-
190061,1733466,FAdVAgp23,FAdVAgp23,-,-,-,-,putative lipase,protein-coding,-,-,-,putative lipase,20201220,-
190061,1733467,FAdVAgp18,FAdVAgp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733468,FAdVAgp06,FAdVAgp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733469,FAdVAgp29,FAdVAgp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733470,FAdVAgp25,FAdVAgp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733471,FAdVAgp27,FAdVAgp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733472,FAdVAgp31,FAdVAgp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733473,FAdVAgp03,FAdVAgp03,-,-,-,-,Rep protein,protein-coding,-,-,-,Rep protein,20201220,-
190061,1733474,FAdVAgp05,FAdVAgp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733475,FAdVAgp02,FAdVAgp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733476,FAdVAgp09,FAdVAgp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733477,FAdVAgp10,FAdVAgp10,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
190061,1733478,FAdVAgp30,FAdVAgp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,1733479,FAdVAgp15,FAdVAgp15,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201220,-
190061,1733480,FAdVAgp04,FAdVAgp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
190061,2830547,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Fowl adenovirus A).,other,-,-,-,-,20200513,-
