#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527580,23680065,PBI_INVENTUM_2,PBI_INVENTUM_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527580,23680066,PBI_INVENTUM_3,PBI_INVENTUM_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
1527580,23680067,PBI_INVENTUM_4,PBI_INVENTUM_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1527580,23680068,PBI_INVENTUM_5,PBI_INVENTUM_5,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1527580,23680069,PBI_INVENTUM_6,PBI_INVENTUM_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1527580,23680070,PBI_INVENTUM_7,PBI_INVENTUM_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1527580,23680071,PBI_INVENTUM_8,PBI_INVENTUM_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1527580,23680072,PBI_INVENTUM_9,PBI_INVENTUM_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1527580,23680073,PBI_INVENTUM_10,PBI_INVENTUM_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1527580,23680074,PBI_INVENTUM_11,PBI_INVENTUM_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1527580,23680075,PBI_INVENTUM_13,PBI_INVENTUM_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
