#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
413066,5076831,B189_gp32,B189_gp32,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201220,-
413066,5076832,B189_gp23,B189_gp23,-,-,-,-,bifunctional DNA primase/polymerase,protein-coding,-,-,-,bifunctional DNA primase/polymerase,20201220,-
413066,5076833,B189_gp40,B189_gp40,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
413066,5076834,B189_gp47,B189_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076835,B189_gp44,B189_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076836,B189_gp38,B189_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076837,B189_gp29,B189_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076838,B189_gp37,B189_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076839,B189_gp11,B189_gp11,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
413066,5076840,B189_gp30,B189_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076841,B189_gp36,B189_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076842,B189_gp15,B189_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076843,B189_gp02,B189_gp02,-,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201220,-
413066,5076844,B189_gp42,B189_gp42,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201220,-
413066,5076845,B189_gp25,B189_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076846,B189_gp48,B189_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076847,B189_gp06,B189_gp06,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
413066,5076848,B189_gp27,B189_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076849,B189_gp22,B189_gp22,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201220,-
413066,5076850,B189_gp05,B189_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076851,B189_gp21,B189_gp21,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
413066,5076852,B189_gp18,B189_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076853,B189_gp31,B189_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076854,B189_gp19,B189_gp19,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
413066,5076855,B189_gp39,B189_gp39,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201220,-
413066,5076856,B189_gp04,B189_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076857,B189_gp09,B189_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076858,B189_gp12,B189_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076859,B189_gp43,B189_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076860,B189_gp14,B189_gp14,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200629,-
413066,5076861,B189_gp10,B189_gp10,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
413066,5076862,B189_gp34,B189_gp34,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
413066,5076863,B189_gp16,B189_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076864,B189_gp03,B189_gp03,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
413066,5076865,B189_gp46,B189_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076866,B189_gp41,B189_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076867,B189_gp17,B189_gp17,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20201220,-
413066,5076868,B189_gp08,B189_gp08,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201220,-
413066,5076869,B189_gp45,B189_gp45,-,-,-,-,"major tail protein, TP901-1 family",protein-coding,-,-,-,"major tail protein, TP901-1 family",20201220,-
413066,5076870,B189_gp35,B189_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076871,B189_gp13,B189_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076872,B189_gp28,B189_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076873,B189_gp24,B189_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076874,B189_gp01,B189_gp01,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
413066,5076875,B189_gp20,B189_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076876,B189_gp33,B189_gp33,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
413066,5076877,B189_gp26,B189_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
413066,5076878,B189_gp07,B189_gp07,-,-,-,-,glucosaminidase domain-containing protein,protein-coding,-,-,-,glucosaminidase domain-containing protein,20201220,-
413066,5130251,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus suis phage SMP).,other,-,-,-,-,20200513,-
