#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
151599,3192561,B3ORF35,B3ORF35,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201220,-
151599,3192562,B3ORF56,B3ORF56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192563,B3ORF5,B3ORF5,-,-,-,-,DUF2786 domain-containing protein,protein-coding,-,-,-,DUF2786 domain-containing protein,20210417,-
151599,3192564,B3ORF6,B3ORF6,-,-,-,-,DUF3164 family protein,protein-coding,-,-,-,DUF3164 family protein,20201220,-
151599,3192565,B3ORF19,B3ORF19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192566,B3ORF44,B3ORF44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192567,B3ORF43,B3ORF43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192568,B3ORF2,B3ORF2,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210212,-
151599,3192569,B3ORF48,B3ORF48,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201220,-
151599,3192570,B3ORF14,B3ORF14,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
151599,3192571,B3ORF15,B3ORF15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192572,B3ORF52,B3ORF52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192573,B3ORF47,B3ORF47,-,-,-,-,Com family DNA-binding transcriptional regulator,protein-coding,-,-,-,Com family DNA-binding transcriptional regulator,20201220,-
151599,3192574,B3ORF33,B3ORF33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192575,B3ORF31,B3ORF31,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201220,-
151599,3192576,B3ORF40,B3ORF40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192577,B3ORF57,B3ORF57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
151599,3192578,B3ORF34,B3ORF34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192579,B3ORF16,B3ORF16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192580,B3ORF26,B3ORF26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192581,B3ORF32,B3ORF32,-,-,-,-,DUF935 family protein,protein-coding,-,-,-,DUF935 family protein,20210417,-
151599,3192582,B3ORF24,B3ORF24,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
151599,3192583,B3ORF13,B3ORF13,-,-,-,-,DUF3102 domain-containing protein,protein-coding,-,-,-,DUF3102 domain-containing protein,20201220,-
151599,3192584,B3ORF25,B3ORF25,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
151599,3192585,B3ORF8,B3ORF8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192586,B3ORF12,B3ORF12,-,-,-,-,DDE-type integrase/transposase/recombinase,protein-coding,-,-,-,DDE-type integrase/transposase/recombinase,20201220,-
151599,3192587,B3ORF36,B3ORF36,-,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
151599,3192588,B3ORF28,B3ORF28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192589,B3ORF36Z,B3ORF36Z,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
151599,3192590,B3ORF50,B3ORF50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192591,B3ORF49,B3ORF49,-,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201220,-
151599,3192592,B3ORF54,B3ORF54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192593,B3ORF53,B3ORF53,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201220,-
151599,3192594,B3ORF51,B3ORF51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192595,B3ORF3,B3ORF3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192596,B3ORF39,B3ORF39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192597,B3ORF4,B3ORF4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192598,B3ORF18,B3ORF18,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
151599,3192599,B3ORF45,B3ORF45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192600,B3ORF20,B3ORF20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192601,B3ORF30,B3ORF30,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201220,-
151599,3192602,B3ORF41,B3ORF41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192603,B3ORF55,B3ORF55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192604,B3ORF42,B3ORF42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192605,B3ORF29,B3ORF29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192606,B3ORF10,B3ORF10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192607,B3ORF1,B3ORF1,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210417,-
151599,3192608,B3ORF23,B3ORF23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192609,B3ORF21,B3ORF21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151599,3192610,B3ORF27,B3ORF27,-,-,-,-,putative Rz lysis protein,protein-coding,-,-,-,putative Rz lysis protein,20201220,-
151599,3192611,B3ORF37,B3ORF37,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201220,-
151599,3192612,B3ORF17,B3ORF17,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201220,-
