#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024282,40088720,FDI41_gp02,FDI41_gp02,SEA_PICCOLETTO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2024282,40088721,FDI41_gp03,FDI41_gp03,SEA_PICCOLETTO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2024282,40088722,FDI41_gp04,FDI41_gp04,SEA_PICCOLETTO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088723,FDI41_gp05,FDI41_gp05,SEA_PICCOLETTO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088724,FDI41_gp06,FDI41_gp06,SEA_PICCOLETTO_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2024282,40088725,FDI41_gp07,FDI41_gp07,SEA_PICCOLETTO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088726,FDI41_gp08,FDI41_gp08,SEA_PICCOLETTO_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2024282,40088727,FDI41_gp09,FDI41_gp09,SEA_PICCOLETTO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088728,FDI41_gp10,FDI41_gp10,SEA_PICCOLETTO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088729,FDI41_gp11,FDI41_gp11,SEA_PICCOLETTO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088730,FDI41_gp12,FDI41_gp12,SEA_PICCOLETTO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088731,FDI41_gp13,FDI41_gp13,SEA_PICCOLETTO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088732,FDI41_gp14,FDI41_gp14,SEA_PICCOLETTO_14,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
2024282,40088733,FDI41_gp15,FDI41_gp15,SEA_PICCOLETTO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088734,FDI41_gp16,FDI41_gp16,SEA_PICCOLETTO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088735,FDI41_gp17,FDI41_gp17,SEA_PICCOLETTO_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2024282,40088736,FDI41_gp18,FDI41_gp18,SEA_PICCOLETTO_18,-,-,-,LysM domain protein,protein-coding,-,-,-,LysM domain protein,20201221,-
2024282,40088737,FDI41_gp19,FDI41_gp19,SEA_PICCOLETTO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2024282,40088738,FDI41_gp20,FDI41_gp20,SEA_PICCOLETTO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088739,FDI41_gp21,FDI41_gp21,SEA_PICCOLETTO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2024282,40088740,FDI41_gp22,FDI41_gp22,SEA_PICCOLETTO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2024282,40088741,FDI41_gp23,FDI41_gp23,SEA_PICCOLETTO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088742,FDI41_gp24,FDI41_gp24,SEA_PICCOLETTO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088743,FDI41_gp25,FDI41_gp25,SEA_PICCOLETTO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024282,40088744,FDI41_gp26,FDI41_gp26,SEA_PICCOLETTO_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
2024282,40088745,FDI41_gp27,FDI41_gp27,SEA_PICCOLETTO_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2024282,40088746,FDI41_gp28,FDI41_gp28,SEA_PICCOLETTO_28,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
2024282,40088747,FDI41_gp29,FDI41_gp29,SEA_PICCOLETTO_29,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
