#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
254252,40089857,FDI51_gp02,FDI51_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
254252,40089858,FDI51_gp03,FDI51_gp03,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
254252,40089859,FDI51_gp04,FDI51_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
254252,40089860,FDI51_gp05,FDI51_gp05,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201220,-
254252,40089861,FDI51_gp06,FDI51_gp06,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
254252,40089862,FDI51_gp07,FDI51_gp07,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
254252,40089863,FDI51_gp08,FDI51_gp08,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
254252,40089864,FDI51_gp09,FDI51_gp09,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
254252,40089865,FDI51_gp10,FDI51_gp10,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
254252,40089866,FDI51_gp11,FDI51_gp11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
254252,40089867,FDI51_gp12,FDI51_gp12,-,-,-,-,chaperone,protein-coding,-,-,-,chaperone,20201220,-
254252,40089868,FDI51_gp13,FDI51_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089869,FDI51_gp14,FDI51_gp14,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
254252,40089870,FDI51_gp15,FDI51_gp15,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201220,-
254252,40089871,FDI51_gp16,FDI51_gp16,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201220,-
254252,40089872,FDI51_gp17,FDI51_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089873,FDI51_gp18,FDI51_gp18,-,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20201220,-
254252,40089874,FDI51_gp19,FDI51_gp19,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
254252,40089875,FDI51_gp20,FDI51_gp20,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
254252,40089876,FDI51_gp21,FDI51_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089877,FDI51_gp22,FDI51_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089878,FDI51_gp23,FDI51_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089879,FDI51_gp24,FDI51_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089880,FDI51_gp25,FDI51_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089881,FDI51_gp26,FDI51_gp26,-,-,-,-,SaV,protein-coding,-,-,-,SaV,20201220,-
254252,40089882,FDI51_gp27,FDI51_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089883,FDI51_gp28,FDI51_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089884,FDI51_gp29,FDI51_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089885,FDI51_gp30,FDI51_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089886,FDI51_gp31,FDI51_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089887,FDI51_gp32,FDI51_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089888,FDI51_gp33,FDI51_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089889,FDI51_gp34,FDI51_gp34,-,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20201220,-
254252,40089890,FDI51_gp35,FDI51_gp35,-,-,-,-,Sak3,protein-coding,-,-,-,Sak3,20201220,-
254252,40089891,FDI51_gp36,FDI51_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089892,FDI51_gp37,FDI51_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089893,FDI51_gp38,FDI51_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089894,FDI51_gp39,FDI51_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089895,FDI51_gp40,FDI51_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089896,FDI51_gp41,FDI51_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089897,FDI51_gp42,FDI51_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089898,FDI51_gp43,FDI51_gp43,-,-,-,-,DNA polymerase subunit,protein-coding,-,-,-,DNA polymerase subunit,20201220,-
254252,40089899,FDI51_gp44,FDI51_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089900,FDI51_gp45,FDI51_gp45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
254252,40089901,FDI51_gp46,FDI51_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089902,FDI51_gp47,FDI51_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089903,FDI51_gp48,FDI51_gp48,-,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20201220,-
254252,40089904,FDI51_gp49,FDI51_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
254252,40089905,FDI51_gp01,FDI51_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
254252,40120020,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus bacteriophage p2; Lactococcus lactis bacteriophage p2; Lactococcus lactis phage p2; Lactococcus phage p2).,other,-,-,-,-,20200513,-
