#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1211279,40084580,AG11_02,FDI18_gp02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1211279,40084581,AG11_03,FDI18_gp03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210123,-
1211279,40084582,AG11_04,FDI18_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084583,AG11_05,FDI18_gp05,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1211279,40084584,AG11_06,FDI18_gp06,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1211279,40084585,AG11_07,FDI18_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084586,AG11_08,FDI18_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084587,AG11_09,FDI18_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084588,AG11_10,FDI18_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084589,AG11_11,FDI18_gp11,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1211279,40084590,AG11_12,FDI18_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084591,AG11_13,FDI18_gp13,-,-,-,-,immunoglobulin domain-containing protein,protein-coding,-,-,-,immunoglobulin domain-containing protein,20210123,-
1211279,40084592,AG11_14,FDI18_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084593,AG11_15,FDI18_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084594,AG11_16,FDI18_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084595,AG11_17,FDI18_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084596,AG11_18,FDI18_gp18,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1211279,40084597,AG11_19,FDI18_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1211279,40084598,AG11_20,FDI18_gp20,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1211279,40084599,AG11_21,FDI18_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084600,AG11_22,FDI18_gp22,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201221,-
1211279,40084601,AG11_23,FDI18_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084602,AG11_24,FDI18_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1211279,40084603,AG11_25,FDI18_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084604,AG11_26,FDI18_gp26,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210417,-
1211279,40084605,AG11_27,FDI18_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084606,AG11_28,FDI18_gp28,-,-,-,-,DUF1833 family protein,protein-coding,-,-,-,DUF1833 family protein,20201221,-
1211279,40084607,AG11_29,FDI18_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084608,AG11_30,FDI18_gp30,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1211279,40084609,AG11_31,FDI18_gp31,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200629,-
1211279,40084610,AG11_32,FDI18_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084611,AG11_33,FDI18_gp33,-,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20201221,-
1211279,40084612,AG11_34,FDI18_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084613,AG11_35,FDI18_gp35,-,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210123,-
1211279,40084614,AG11_35A,FDI18_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084615,AG11_36,FDI18_gp37,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1211279,40084616,AG11_37,FDI18_gp38,-,-,-,-,DUF2815 family protein,protein-coding,-,-,-,DUF2815 family protein,20210123,-
1211279,40084617,AG11_38,FDI18_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084618,AG11_39,FDI18_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084619,AG11_40,FDI18_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084620,AG11_41,FDI18_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084621,AG11_42,FDI18_gp43,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1211279,40084622,AG11_43,FDI18_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084623,AG11_44,FDI18_gp45,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20200629,-
1211279,40084624,AG11_46,FDI18_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084625,AG11_47,FDI18_gp47,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1211279,40084626,AG11_48,FDI18_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211279,40084627,AG11_49,FDI18_gp49,-,-,-,-,ASCH domain-containing protein,protein-coding,-,-,-,ASCH domain-containing protein,20201221,-
1211279,40084628,AG11_50,FDI18_gp50,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201221,-
1211279,40084629,AG11_51,FDI18_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
