#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463812,18505866,Jolie1_02,Jolie1_02,-,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20201221,-
1463812,18505867,Jolie1_03,Jolie1_03,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1463812,18505868,Jolie1_04,Jolie1_04,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1463812,18505869,Jolie1_05,Jolie1_05,-,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
1463812,18505870,Jolie1_06,Jolie1_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505871,Jolie1_07,Jolie1_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505872,Jolie1_08,Jolie1_08,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1463812,18505873,Jolie1_09,Jolie1_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505874,Jolie1_010,Jolie1_010,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1463812,18505875,Jolie1_011,Jolie1_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505876,Jolie1_012,Jolie1_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505877,Jolie1_013,Jolie1_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505878,Jolie1_014,Jolie1_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505879,Jolie1_015,Jolie1_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505880,Jolie1_016,Jolie1_016,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1463812,18505881,Jolie1_017,Jolie1_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505882,Jolie1_018,Jolie1_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505883,Jolie1_019,Jolie1_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505884,Jolie1_020,Jolie1_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505885,Jolie1_021,Jolie1_021,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463812,18505886,Jolie1_022,Jolie1_022,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463812,18505887,Jolie1_023,Jolie1_023,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1463812,18505888,Jolie1_024,Jolie1_024,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463812,18505889,Jolie1_025,Jolie1_025,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463812,18505890,Jolie1_026,Jolie1_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505891,Jolie1_027,Jolie1_027,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463812,18505892,Jolie1_028,Jolie1_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505893,Jolie1_029,Jolie1_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505894,Jolie1_030,Jolie1_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505895,Jolie1_031,Jolie1_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505896,Jolie1_032,Jolie1_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505897,Jolie1_033,Jolie1_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505898,Jolie1_034,Jolie1_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505899,Jolie1_035,Jolie1_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505900,Jolie1_036,Jolie1_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505901,Jolie1_037,Jolie1_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505902,Jolie1_038,Jolie1_038,-,-,-,-,HTH binding protein,protein-coding,-,-,-,HTH binding protein,20201221,-
1463812,18505903,Jolie1_039,Jolie1_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505904,Jolie1_040,Jolie1_040,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1463812,18505905,Jolie1_041,Jolie1_041,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1463812,18505906,Jolie1_042,Jolie1_042,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1463812,18505907,Jolie1_043,Jolie1_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505908,Jolie1_044,Jolie1_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505909,Jolie1_045,Jolie1_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505910,Jolie1_046,Jolie1_046,-,-,-,-,type III restriction helicase,protein-coding,-,-,-,type III restriction helicase,20201221,-
1463812,18505911,Jolie1_047,Jolie1_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505912,Jolie1_048,Jolie1_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505913,Jolie1_049,Jolie1_049,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
1463812,18505914,Jolie1_050,Jolie1_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505915,Jolie1_051,Jolie1_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505916,Jolie1_052,Jolie1_052,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1463812,18505917,Jolie1_053,Jolie1_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505918,Jolie1_054,Jolie1_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505919,Jolie1_055,Jolie1_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505920,Jolie1_056,Jolie1_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505921,Jolie1_057,Jolie1_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505922,Jolie1_058,Jolie1_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505923,Jolie1_059,Jolie1_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505924,Jolie1_060,Jolie1_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505925,Jolie1_061,Jolie1_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505926,Jolie1_062,Jolie1_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505927,Jolie1_063,Jolie1_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505928,Jolie1_064,Jolie1_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505929,Jolie1_065,Jolie1_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505930,Jolie1_066,Jolie1_066,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20201221,-
1463812,18505931,Jolie1_067,Jolie1_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505932,Jolie1_068,Jolie1_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505933,Jolie1_069,Jolie1_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505934,Jolie1_070,Jolie1_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505935,Jolie1_071,Jolie1_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505936,Jolie1_072,Jolie1_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505937,Jolie1_073,Jolie1_073,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1463812,18505938,Jolie1_074,Jolie1_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505939,Jolie1_075,Jolie1_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505940,Jolie1_076,Jolie1_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505941,Jolie1_077,Jolie1_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505942,Jolie1_078,Jolie1_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505943,Jolie1_079,Jolie1_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505944,Jolie1_080,Jolie1_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505945,Jolie1_081,Jolie1_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505946,Jolie1_082,Jolie1_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505947,Jolie1_083,Jolie1_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505948,Jolie1_084,Jolie1_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505949,Jolie1_085,Jolie1_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505950,Jolie1_086,Jolie1_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505951,Jolie1_087,Jolie1_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505952,Jolie1_088,Jolie1_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463812,18505953,Jolie1_089,Jolie1_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
