#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530128,60328398,2,I5H36_gp002,SEA_FANCYPANTS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2530128,60328399,3,I5H36_gp003,SEA_FANCYPANTS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2530128,60328400,4,I5H36_gp004,SEA_FANCYPANTS_4,-,-,-,capsid maturation protease and minor capsid protein fusion,protein-coding,-,-,-,capsid maturation protease and minor capsid protein fusion,20201129,-
2530128,60328401,5,I5H36_gp005,SEA_FANCYPANTS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2530128,60328402,6,I5H36_gp006,SEA_FANCYPANTS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2530128,60328403,7,I5H36_gp007,SEA_FANCYPANTS_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2530128,60328404,8,I5H36_gp008,SEA_FANCYPANTS_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2530128,60328405,9,I5H36_gp009,SEA_FANCYPANTS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328406,10,I5H36_gp010,SEA_FANCYPANTS_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2530128,60328407,11,I5H36_gp011,SEA_FANCYPANTS_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2530128,60328408,13,I5H36_gp012,SEA_FANCYPANTS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2530128,60328409,14,I5H36_gp014,SEA_FANCYPANTS_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2530128,60328410,12,I5H36_gp013,SEA_FANCYPANTS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2530128,60328411,15,I5H36_gp015,SEA_FANCYPANTS_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328412,16,I5H36_gp016,SEA_FANCYPANTS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328413,17,I5H36_gp017,SEA_FANCYPANTS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328414,18,I5H36_gp018,SEA_FANCYPANTS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328415,19,I5H36_gp019,SEA_FANCYPANTS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2530128,60328416,20,I5H36_gp020,SEA_FANCYPANTS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328417,21,I5H36_gp021,SEA_FANCYPANTS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328418,22,I5H36_gp022,SEA_FANCYPANTS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2530128,60328419,23,I5H36_gp023,SEA_FANCYPANTS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328420,24,I5H36_gp024,SEA_FANCYPANTS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328421,25,I5H36_gp025,SEA_FANCYPANTS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328422,26,I5H36_gp026,SEA_FANCYPANTS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328423,27,I5H36_gp027,SEA_FANCYPANTS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328424,28,I5H36_gp028,SEA_FANCYPANTS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328425,29,I5H36_gp029,SEA_FANCYPANTS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328426,30,I5H36_gp030,SEA_FANCYPANTS_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2530128,60328427,31,I5H36_gp031,SEA_FANCYPANTS_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2530128,60328428,32,I5H36_gp032,SEA_FANCYPANTS_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2530128,60328429,33,I5H36_gp033,SEA_FANCYPANTS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2530128,60328430,34,I5H36_gp034,SEA_FANCYPANTS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328431,35,I5H36_gp035,SEA_FANCYPANTS_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2530128,60328432,36,I5H36_gp036,SEA_FANCYPANTS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328433,37,I5H36_gp037,SEA_FANCYPANTS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328434,38,I5H36_gp038,SEA_FANCYPANTS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328435,39,I5H36_gp039,SEA_FANCYPANTS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328436,40,I5H36_gp040,SEA_FANCYPANTS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328437,41,I5H36_gp041,SEA_FANCYPANTS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328438,42,I5H36_gp042,SEA_FANCYPANTS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328439,43,I5H36_gp043,SEA_FANCYPANTS_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2530128,60328440,44,I5H36_gp044,SEA_FANCYPANTS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328441,45,I5H36_gp045,SEA_FANCYPANTS_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2530128,60328442,46,I5H36_gp046,SEA_FANCYPANTS_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2530128,60328443,47,I5H36_gp047,SEA_FANCYPANTS_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2530128,60328444,48,I5H36_gp048,SEA_FANCYPANTS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328445,49,I5H36_gp049,SEA_FANCYPANTS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328446,50,I5H36_gp050,SEA_FANCYPANTS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328447,51,I5H36_gp051,SEA_FANCYPANTS_51,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2530128,60328448,52,I5H36_gp052,SEA_FANCYPANTS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328449,53,I5H36_gp053,SEA_FANCYPANTS_53,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2530128,60328450,54,I5H36_gp054,SEA_FANCYPANTS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328451,56,I5H36_gp056,SEA_FANCYPANTS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328452,57,I5H36_gp057,SEA_FANCYPANTS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328453,58,I5H36_gp058,SEA_FANCYPANTS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328454,59,I5H36_gp059,SEA_FANCYPANTS_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2530128,60328455,60,I5H36_gp060,SEA_FANCYPANTS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2530128,60328456,61,I5H36_gp061,SEA_FANCYPANTS_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2530128,60328457,62,I5H36_gp062,SEA_FANCYPANTS_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2530128,60328458,63,I5H36_gp063,SEA_FANCYPANTS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2530128,60328459,64,I5H36_gp064,SEA_FANCYPANTS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2530128,60328460,65,I5H36_gp065,SEA_FANCYPANTS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
