#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1537091,23681424,VC56_gp02,VC56_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1537091,23681425,VC56_gp03,VC56_gp03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1537091,23681426,VC56_gp04,VC56_gp04,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
1537091,23681427,VC56_gp05,VC56_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681428,VC56_gp06,VC56_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681429,VC56_gp07,VC56_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681430,VC56_gp08,VC56_gp08,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20200629,-
1537091,23681431,VC56_gp09,VC56_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681432,VC56_gp10,VC56_gp10,-,-,-,-,DUF4054 domain-containing protein,protein-coding,-,-,-,DUF4054 domain-containing protein,20201221,-
1537091,23681433,VC56_gp11,VC56_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681434,VC56_gp12,VC56_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681435,VC56_gp13,VC56_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681436,VC56_gp14,VC56_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681437,VC56_gp15,VC56_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681438,VC56_gp16,VC56_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681439,VC56_gp17,VC56_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681440,VC56_gp18,VC56_gp18,-,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20200629,-
1537091,23681441,VC56_gp19,VC56_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681442,VC56_gp20,VC56_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681443,VC56_gp21,VC56_gp21,-,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20201221,-
1537091,23681444,VC56_gp22,VC56_gp22,-,-,-,-,putative regulator protein Arc-like DNA binding domain,protein-coding,-,-,-,putative regulator protein Arc-like DNA binding domain,20210327,-
1537091,23681445,VC56_gp23,VC56_gp23,-,-,-,-,putative antirepressor protein Ant,protein-coding,-,-,-,putative antirepressor protein Ant,20200629,-
1537091,23681446,VC56_gp24,VC56_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681447,VC56_gp25,VC56_gp25,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1537091,23681448,VC56_gp26,VC56_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681449,VC56_gp27,VC56_gp27,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201221,-
1537091,23681450,VC56_gp28,VC56_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681451,VC56_gp29,VC56_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681452,VC56_gp30,VC56_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681453,VC56_gp31,VC56_gp31,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1537091,23681454,VC56_gp32,VC56_gp32,-,-,-,-,putative tail assembly chaperone,protein-coding,-,-,-,putative tail assembly chaperone,20200629,-
1537091,23681455,VC56_gp33,VC56_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681456,VC56_gp34,VC56_gp34,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20200629,-
1537091,23681457,VC56_gp35,VC56_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681458,VC56_gp36,VC56_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681459,VC56_gp37,VC56_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681460,VC56_gp38,VC56_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681461,VC56_gp39,VC56_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681462,VC56_gp40,VC56_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681463,VC56_gp41,VC56_gp41,-,-,-,-,diguanylate phosphodiesterase,protein-coding,-,-,-,diguanylate phosphodiesterase,20201221,-
1537091,23681464,VC56_gp42,VC56_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681465,VC56_gp43,VC56_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681466,VC56_gp44,VC56_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681467,VC56_gp45,VC56_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681468,VC56_gp46,VC56_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681469,VC56_gp47,VC56_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681470,VC56_gp48,VC56_gp48,-,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20200629,-
1537091,23681471,VC56_gp49,VC56_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681472,VC56_gp50,VC56_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681473,VC56_gp51,VC56_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681474,VC56_gp52,VC56_gp52,-,-,-,-,putative CIII protein,protein-coding,-,-,-,putative CIII protein,20200629,-
1537091,23681475,VC56_gp53,VC56_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681476,VC56_gp54,VC56_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681477,VC56_gp55,VC56_gp55,-,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20200629,-
1537091,23681478,VC56_gp56,VC56_gp56,-,-,-,-,putative anti-termination protein N,protein-coding,-,-,-,putative anti-termination protein N,20200629,-
1537091,23681479,VC56_gp57,VC56_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681480,VC56_gp58,VC56_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681481,VC56_gp59,VC56_gp59,-,-,-,-,putative prophage repressor CI,protein-coding,-,-,-,putative prophage repressor CI,20200629,-
1537091,23681482,VC56_gp60,VC56_gp60,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1537091,23681483,VC56_gp61,VC56_gp61,-,-,-,-,putative regulatory protein CII,protein-coding,-,-,-,putative regulatory protein CII,20200629,-
1537091,23681484,VC56_gp62,VC56_gp62,-,-,-,-,putative DNA replication protein O,protein-coding,-,-,-,putative DNA replication protein O,20200629,-
1537091,23681485,VC56_gp63,VC56_gp63,-,-,-,-,Replication protein P,protein-coding,-,-,-,Replication protein P,20201221,-
1537091,23681486,VC56_gp64,VC56_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681487,VC56_gp65,VC56_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1537091,23681488,VC56_gp66,VC56_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
