#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
337330,20564809,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus plantarum subsp. plantarum).,other,-,-,-,-,20200831,-
337330,39472145,CXP42_RS00110,CXP42_RS00110,CXP42_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472150,CXP42_RS00065,CXP42_RS00065,CXP42_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472152,CXP42_RS00040,CXP42_RS00040,CXP42_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472155,CXP42_RS00150,CXP42_RS00150,CXP42_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472158,CXP42_RS00130,CXP42_RS00130,CXP42_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472163,CXP42_RS00070,CXP42_RS00070,CXP42_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472172,CXP42_RS00020,CXP42_RS00020,CXP42_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
337330,39472179,CXP42_RS00250,CXP42_RS00250,CXP42_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472190,CXP42_RS00375,CXP42_RS00375,CXP42_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
337330,39472209,CXP42_RS00320,CXP42_RS00320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472212,CXP42_RS00340,CXP42_RS00340,CXP42_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472215,CXP42_RS00360,CXP42_RS00360,CXP42_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
337330,39472217,CXP42_RS00380,CXP42_RS00380,CXP42_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
