#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
78587,10062101,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20160514,-
78587,39467818,EM6_RS16105,EM6_RS16105,EM6_3190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467825,EM6_RS16710,EM6_RS16710,EM6_3299,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467852,EM6_RS16940,EM6_RS16940,EM6_3342,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467853,EM6_RS16445,EM6_RS16445,EM6_3257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467854,EM6_RS17055,EM6_RS17055,EM6_3365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467856,EM6_RS16815,EM6_RS16815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467859,EM6_RS16485,EM6_RS16485,EM6_3263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
78587,39467860,EM6_RS16490,EM6_RS16490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467877,EM6_RS16930,EM6_RS16930,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467878,EM6_RS16625,EM6_RS16625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467884,EM6_RS16600,EM6_RS16600,EM6_3284,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467891,EM6_RS17060,EM6_RS17060,EM6_3366,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467907,EM6_RS16620,EM6_RS16620,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467923,EM6_RS16560,EM6_RS16560,EM6_3277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467934,EM6_RS17230,EM6_RS17230,EM6_3400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467940,EM6_RS16500,EM6_RS16500,EM6_3265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467952,EM6_RS16960,EM6_RS16960,EM6_3345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467958,EM6_RS17220,EM6_RS17220,EM6_3398,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467970,EM6_RS17070,EM6_RS17070,EM6_3368,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
78587,39467972,EM6_RS16785,EM6_RS16785,EM6_3314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467983,EM6_RS16535,EM6_RS16535,EM6_3272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
78587,39467984,EM6_RS16695,EM6_RS16695,EM6_3296,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467985,EM6_RS16685,EM6_RS16685,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467987,EM6_RS16405,EM6_RS16405,EM6_3249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467998,EM6_RS16775,EM6_RS16775,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39467999,EM6_RS16660,EM6_RS16660,EM6_3291,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468002,EM6_RS16145,EM6_RS16145,EM6_3199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468003,EM6_RS16615,EM6_RS16615,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468004,EM6_RS16680,EM6_RS16680,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468006,EM6_RS16440,EM6_RS16440,EM6_3256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468008,EM6_RS16700,EM6_RS16700,EM6_3297,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468018,EM6_RS16590,EM6_RS16590,EM6_3282,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468019,EM6_RS16655,EM6_RS16655,EM6_3290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468023,EM6_RS16415,EM6_RS16415,EM6_3251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468030,EM6_RS16545,EM6_RS16545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
78587,39468039,EM6_RS16495,EM6_RS16495,EM6_3264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
