#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1498168,24628048,ACQ25_gp001,ACQ25_gp001,-,-,-,-,putative cytidine deaminase,protein-coding,-,-,-,putative cytidine deaminase,20200910,-
1498168,24628049,ACQ25_gt002,ACQ25_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1498168,24628050,ACQ25_gt003,ACQ25_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1498168,24628051,ACQ25_gt004,ACQ25_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1498168,24628052,ACQ25_gp220,ACQ25_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628053,ACQ25_gp219,ACQ25_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1498168,24628054,ACQ25_gp002,ACQ25_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628055,ACQ25_gp003,ACQ25_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628056,ACQ25_gp004,ACQ25_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628057,ACQ25_gp005,ACQ25_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628058,ACQ25_gp006,ACQ25_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628059,ACQ25_gp007,ACQ25_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628060,ACQ25_gp008,ACQ25_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628061,ACQ25_gp009,ACQ25_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628062,ACQ25_gp010,ACQ25_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628063,ACQ25_gp011,ACQ25_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628064,ACQ25_gp012,ACQ25_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628065,ACQ25_gp013,ACQ25_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628066,ACQ25_gp014,ACQ25_gp014,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200910,-
1498168,24628067,ACQ25_gp015,ACQ25_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628068,ACQ25_gp016,ACQ25_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628069,ACQ25_gp017,ACQ25_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628070,ACQ25_gp018,ACQ25_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628071,ACQ25_gp019,ACQ25_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628072,ACQ25_gp020,ACQ25_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628073,ACQ25_gp021,ACQ25_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628074,ACQ25_gp022,ACQ25_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628075,ACQ25_gp023,ACQ25_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628076,ACQ25_gp024,ACQ25_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628077,ACQ25_gp025,ACQ25_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628078,ACQ25_gp026,ACQ25_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1498168,24628079,ACQ25_gp027,ACQ25_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1498168,24628080,ACQ25_gp028,ACQ25_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
