#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182394,60326811,2,I5H21_gp002,SEA_BYOUGENKIN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182394,60326812,3,I5H21_gp003,SEA_BYOUGENKIN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2182394,60326813,4,I5H21_gp004,SEA_BYOUGENKIN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2182394,60326814,5,I5H21_gp005,SEA_BYOUGENKIN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2182394,60326815,6,I5H21_gp006,SEA_BYOUGENKIN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2182394,60326816,7,I5H21_gp007,SEA_BYOUGENKIN_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2182394,60326817,8,I5H21_gp008,SEA_BYOUGENKIN_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2182394,60326818,9,I5H21_gp009,SEA_BYOUGENKIN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326819,10,I5H21_gp010,SEA_BYOUGENKIN_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2182394,60326820,11,I5H21_gp011,SEA_BYOUGENKIN_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2182394,60326821,13,I5H21_gp012,SEA_BYOUGENKIN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182394,60326822,14,I5H21_gp014,SEA_BYOUGENKIN_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2182394,60326823,12,I5H21_gp013,SEA_BYOUGENKIN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182394,60326824,15,I5H21_gp015,SEA_BYOUGENKIN_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326825,16,I5H21_gp016,SEA_BYOUGENKIN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326826,17,I5H21_gp017,SEA_BYOUGENKIN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326827,18,I5H21_gp018,SEA_BYOUGENKIN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326828,19,I5H21_gp019,SEA_BYOUGENKIN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2182394,60326829,20,I5H21_gp020,SEA_BYOUGENKIN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326830,21,I5H21_gp021,SEA_BYOUGENKIN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326831,22,I5H21_gp022,SEA_BYOUGENKIN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182394,60326832,23,I5H21_gp023,SEA_BYOUGENKIN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326833,24,I5H21_gp024,SEA_BYOUGENKIN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326834,25,I5H21_gp025,SEA_BYOUGENKIN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182394,60326835,26,I5H21_gp026,SEA_BYOUGENKIN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326836,27,I5H21_gp027,SEA_BYOUGENKIN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326837,28,I5H21_gp028,SEA_BYOUGENKIN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326838,29,I5H21_gp029,SEA_BYOUGENKIN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182394,60326839,30,I5H21_gp030,SEA_BYOUGENKIN_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2182394,60326840,31,I5H21_gp031,SEA_BYOUGENKIN_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2182394,60326841,32,I5H21_gp032,SEA_BYOUGENKIN_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2182394,60326842,33,I5H21_gp033,SEA_BYOUGENKIN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2182394,60326843,34,I5H21_gp034,SEA_BYOUGENKIN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
