#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1382932,16575362,105,TROLL_105,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201221,-
1382932,16575363,106,TROLL_106,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1382932,16575364,107,TROLL_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1382932,16575365,108,TROLL_108,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1382932,16575366,109,TROLL_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575367,110,TROLL_110,-,-,-,-,DNA helicase 2,protein-coding,-,-,-,DNA helicase 2,20210529,-
1382932,16575368,111,TROLL_111,-,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20201221,-
1382932,16575369,112,TROLL_112,-,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20201221,-
1382932,16575370,113,TROLL_113,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20201221,-
1382932,16575371,114,TROLL_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575372,116,TROLL_116,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20210529,-
1382932,16575373,117,TROLL_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575374,118,TROLL_118,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201221,-
1382932,16575375,119,TROLL_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575376,120,TROLL_120,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
1382932,16575377,121,TROLL_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575378,122,TROLL_122,-,-,-,-,dUTP nucleotidohydrolase,protein-coding,-,-,-,dUTP nucleotidohydrolase,20201221,-
1382932,16575379,123,TROLL_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575380,124,TROLL_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575381,125,TROLL_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575382,126,TROLL_126,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1382932,16575383,127,TROLL_127,-,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,20201221,-
1382932,16575384,128,TROLL_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575385,130,TROLL_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575386,131,TROLL_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1382932,16575387,132,TROLL_132,-,-,-,-,ribonucleoside-diphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase beta subunit,20201221,-
1382932,16575388,133,TROLL_133,-,-,-,-,flavodoxin,protein-coding,-,-,-,flavodoxin,20201221,-
1382932,16575389,134,TROLL_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
