#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
149539,6407455,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus enteritidis; Salmonella enterica serovar Enteritidis; Salmonella enteritidis).,other,-,-,-,-,20210206,-
149539,39502234,EAE33_RS23705,EAE33_RS23705,EAE33_24030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
149539,39502253,EAE33_RS23425,EAE33_RS23425,EAE33_23750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
149539,39502256,EAE33_RS23470,EAE33_RS23470,EAE33_23795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
149539,39502264,EAE33_RS23715,EAE33_RS23715,EAE33_24040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
149539,39502273,EAE33_RS23595,EAE33_RS23595,EAE33_23920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
149539,39502274,EAE33_RS23525,EAE33_RS23525,EAE33_23850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
149539,39502279,EAE33_RS23545,EAE33_RS23545,EAE33_23870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
149539,39502281,EAE33_RS23485,EAE33_RS23485,EAE33_23810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
149539,39502286,EAE33_RS23500,EAE33_RS23500,EAE33_23825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
149539,39502380,EAE33_RS23885,EAE33_RS23885,EAE33_24210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
