#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229788,13827410,2,D290_gp02,P105_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229788,13827411,3,D290_gp03,P105_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229788,13827412,4,D290_gp04,P105_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827413,5,D290_gp05,P105_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229788,13827414,6,D290_gp06,P105_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229788,13827415,7,D290_gp07,P105_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229788,13827416,8,D290_gp08,P105_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827417,9,D290_gp09,P105_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827418,10,D290_gp10,P105_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827419,11,D290_gp11,P105_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229788,13827420,13,D290_gp12,P105_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229788,13827421,14,D290_gp14,P105_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229788,13827422,12,D290_gp13,P105_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229788,13827423,15,D290_gp15,P105_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229788,13827424,16,D290_gp16,P105_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229788,13827425,17,D290_gp17,P105_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229788,13827426,18,D290_gp18,P105_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827427,19,D290_gp19,P105_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229788,13827428,20,D290_gp20,P105_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229788,13827429,21,D290_gp21,P105_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229788,13827430,22,D290_gp22,P105_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827431,23,D290_gp23,P105_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827432,24,D290_gp24,P105_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827433,25,D290_gp25,P105_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827434,26,D290_gp26,P105_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827435,27,D290_gp27,P105_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229788,13827436,28,D290_gp28,P105_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827437,29,D290_gp29,P105_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827438,30,D290_gp30,P105_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827439,31,D290_gp31,P105_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827440,33,D290_gp33,P105_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827441,34,D290_gp34,P105_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827442,35,D290_gp35,P105_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827443,36,D290_gp36,P105_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827444,37,D290_gp37,P105_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827445,38,D290_gp38,P105_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827446,40,D290_gp40,P105_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827447,41,D290_gp41,P105_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827448,42,D290_gp42,P105_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827449,43,D290_gp43,P105_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827450,44,D290_gp44,P105_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827451,32,D290_gp32,P105_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827452,39,D290_gp39,P105_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827453,45,D290_gp45,P105_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229788,13827454,1,D290_gp01,P105_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229788,13839493,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
