#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315597,55005699,HOU41_gp002,HOU41_gp002,CPT_Stubb_002,-,-,-,A1 protein,protein-coding,-,-,-,A1 protein,20200910,-
2315597,55005700,HOU41_gp003,HOU41_gp003,CPT_Stubb_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005701,HOU41_gp004,HOU41_gp004,CPT_Stubb_004,-,-,-,A2 protein,protein-coding,-,-,-,A2 protein,20200910,-
2315597,55005702,HOU41_gp005,HOU41_gp005,CPT_Stubb_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005703,HOU41_gp006,HOU41_gp006,CPT_Stubb_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005704,HOU41_gp007,HOU41_gp007,CPT_Stubb_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005705,HOU41_gp008,HOU41_gp008,CPT_Stubb_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005706,HOU41_gp009,HOU41_gp009,CPT_Stubb_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005707,HOU41_gp010,HOU41_gp010,CPT_Stubb_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005708,HOU41_gp011,HOU41_gp011,CPT_Stubb_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005709,HOU41_gp012,HOU41_gp012,CPT_Stubb_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005710,HOU41_gp013,HOU41_gp013,CPT_Stubb_013,-,-,-,DNA mismatch repair hydrolase,protein-coding,-,-,-,DNA mismatch repair hydrolase,20210403,-
2315597,55005711,HOU41_gp014,HOU41_gp014,CPT_Stubb_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005712,HOU41_gp015,HOU41_gp015,CPT_Stubb_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005713,HOU41_gp016,HOU41_gp016,CPT_Stubb_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005714,HOU41_gp017,HOU41_gp017,CPT_Stubb_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005715,HOU41_gp018,HOU41_gp018,CPT_Stubb_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005716,HOU41_gp019,HOU41_gp019,CPT_Stubb_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005717,HOU41_gp020,HOU41_gp020,CPT_Stubb_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005718,HOU41_gp021,HOU41_gp021,CPT_Stubb_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005719,HOU41_gp022,HOU41_gp022,CPT_Stubb_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315597,55005720,HOU41_gp023,HOU41_gp023,CPT_Stubb_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005721,HOU41_gp024,HOU41_gp024,CPT_Stubb_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005722,HOU41_gp025,HOU41_gp025,CPT_Stubb_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005723,HOU41_gp026,HOU41_gp026,CPT_Stubb_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005724,HOU41_gp027,HOU41_gp027,CPT_Stubb_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005725,HOU41_gp028,HOU41_gp028,CPT_Stubb_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005726,HOU41_gp029,HOU41_gp029,CPT_Stubb_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005727,HOU41_gp030,HOU41_gp030,CPT_Stubb_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005728,HOU41_gp031,HOU41_gp031,CPT_Stubb_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005729,HOU41_gp032,HOU41_gp032,CPT_Stubb_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005730,HOU41_gp033,HOU41_gp033,CPT_Stubb_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005731,HOU41_gp034,HOU41_gp034,CPT_Stubb_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005732,HOU41_gp035,HOU41_gp035,CPT_Stubb_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005733,HOU41_gp036,HOU41_gp036,CPT_Stubb_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005734,HOU41_gp037,HOU41_gp037,CPT_Stubb_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005735,HOU41_gp038,HOU41_gp038,CPT_Stubb_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005736,HOU41_gp039,HOU41_gp039,CPT_Stubb_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315597,55005737,HOU41_gp040,HOU41_gp040,CPT_Stubb_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
