#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
281681,33352234,ND4L,CGW76_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
281681,33352235,CGW76_mgt03,CGW76_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352236,ATP6,CGW76_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
281681,33352237,CGW76_mgt08,CGW76_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352238,CGW76_mgt11,CGW76_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352239,CGW76_mgt15,CGW76_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352240,CGW76_mgt16,CGW76_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352241,COX1,CGW76_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
281681,33352242,CGW76_mgt17,CGW76_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352243,CGW76_mgt21,CGW76_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352244,ND5,CGW76_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
281681,33352245,CGW76_mgt22,CGW76_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352246,CGW76_mgt01,CGW76_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352247,CGW76_mgt02,CGW76_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352248,ND6,CGW76_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
281681,33352249,CGW76_mgt04,CGW76_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352250,CGW76_mgr02,CGW76_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
281681,33352251,CGW76_mgt05,CGW76_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352252,CGW76_mgt06,CGW76_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352253,CGW76_mgt07,CGW76_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352254,ND1,CGW76_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
281681,33352255,CGW76_mgt09,CGW76_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352256,CGW76_mgt10,CGW76_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352257,ND2,CGW76_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
281681,33352258,CGW76_mgt12,CGW76_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352259,CGW76_mgt13,CGW76_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352260,CGW76_mgt14,CGW76_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352261,CYTB,CGW76_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
281681,33352262,COX3,CGW76_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
281681,33352263,ND4,CGW76_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
281681,33352264,CGW76_mgt18,CGW76_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352265,CGW76_mgt19,CGW76_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352266,CGW76_mgt20,CGW76_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
281681,33352267,COX2,CGW76_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
281681,33352268,CGW76_mgr01,CGW76_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
281681,33352269,ND3,CGW76_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
