#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
450,9406685,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20100713,-
450,42605752,FQU71_RS00205,FQU71_RS00205,FQU71_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605761,FQU71_RS00335,FQU71_RS00335,FQU71_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605762,FQU71_RS00395,FQU71_RS00395,FQU71_00395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605766,FQU71_RS00225,FQU71_RS00225,FQU71_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605778,FQU71_RS00210,FQU71_RS00210,FQU71_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605783,FQU71_RS00385,FQU71_RS00385,FQU71_00385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
450,42605784,FQU71_RS00390,FQU71_RS00390,FQU71_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605804,FQU71_RS00095,FQU71_RS00095,FQU71_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605806,FQU71_RS00025,FQU71_RS00025,FQU71_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605823,FQU71_RS00130,FQU71_RS00130,FQU71_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
450,42605858,FQU71_RS00450,FQU71_RS00450,FQU71_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
450,42605883,FQU71_RS00460,FQU71_RS00460,FQU71_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
