#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610838,26643439,AVU33_gp02,AVU33_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1610838,26643440,AVU33_gp03,AVU33_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1610838,26643441,AVU33_gp04,AVU33_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643442,AVU33_gp05,AVU33_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1610838,26643443,AVU33_gp06,AVU33_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643444,AVU33_gp07,AVU33_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643445,AVU33_gp08,AVU33_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643446,AVU33_gp09,AVU33_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643447,AVU33_gp10,AVU33_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643448,AVU33_gp11,AVU33_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643449,AVU33_gp12,AVU33_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1610838,26643450,AVU33_gp13,AVU33_gp13,-,-,-,-,putative phage tail subunit,protein-coding,-,-,-,putative phage tail subunit,20200629,-
1610838,26643451,AVU33_gp14,AVU33_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643452,AVU33_gp15,AVU33_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643453,AVU33_gp16,AVU33_gp16,-,-,-,-,tail length tape-measure protein 1,protein-coding,-,-,-,tail length tape-measure protein 1,20200629,-
1610838,26643454,AVU33_gp17,AVU33_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643455,AVU33_gp18,AVU33_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643456,AVU33_gp19,AVU33_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643457,AVU33_gp20,AVU33_gp20,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610838,26643458,AVU33_gp21,AVU33_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643459,AVU33_gp22,AVU33_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643460,AVU33_gp23,AVU33_gp23,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610838,26643461,AVU33_gp24,AVU33_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643462,AVU33_gp25,AVU33_gp25,-,-,-,-,putative endosialidase-like protein,protein-coding,-,-,-,putative endosialidase-like protein,20200629,-
1610838,26643463,AVU33_gp26,AVU33_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643464,AVU33_gp27,AVU33_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643465,AVU33_gp28,AVU33_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643466,AVU33_gp29,AVU33_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643467,AVU33_gp30,AVU33_gp30,-,-,-,-,DNA polymerase B region,protein-coding,-,-,-,DNA polymerase B region,20200629,-
1610838,26643468,AVU33_gp31,AVU33_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643469,AVU33_gp32,AVU33_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643470,AVU33_gp33,AVU33_gp33,-,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,protein-coding,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,20200629,-
1610838,26643471,AVU33_gp34,AVU33_gp34,-,-,-,-,6-carboxytetrahydropterin synthase,protein-coding,-,-,-,6-carboxytetrahydropterin synthase,20200629,-
1610838,26643472,AVU33_gp35,AVU33_gp35,-,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,protein-coding,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,20200629,-
1610838,26643473,AVU33_gp36,AVU33_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643474,AVU33_gp37,AVU33_gp37,-,-,-,-,queuosine Biosynthesis QueE Radical SAM,protein-coding,-,-,-,queuosine Biosynthesis QueE Radical SAM,20200629,-
1610838,26643475,AVU33_gp38,AVU33_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643476,AVU33_gp39,AVU33_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643477,AVU33_gp40,AVU33_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643478,AVU33_gp41,AVU33_gp41,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20200629,-
1610838,26643479,AVU33_gp42,AVU33_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643480,AVU33_gp43,AVU33_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643481,AVU33_gp44,AVU33_gp44,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210424,-
1610838,26643482,AVU33_gp45,AVU33_gp45,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1610838,26643483,AVU33_gp46,AVU33_gp46,-,-,-,-,RNAse H,protein-coding,-,-,-,RNAse H,20200629,-
1610838,26643484,AVU33_gp47,AVU33_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643485,AVU33_gp48,AVU33_gp48,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200629,-
1610838,26643486,AVU33_gp49,AVU33_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643487,AVU33_gp50,AVU33_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643488,AVU33_gp51,AVU33_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643489,AVU33_gp52,AVU33_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643490,AVU33_gp53,AVU33_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643491,AVU33_gp54,AVU33_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643492,AVU33_gp55,AVU33_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643493,AVU33_gp56,AVU33_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643494,AVU33_gp57,AVU33_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643495,AVU33_gp58,AVU33_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643496,AVU33_gp59,AVU33_gp59,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200629,-
1610838,26643497,AVU33_gp60,AVU33_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643498,AVU33_gp61,AVU33_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643499,AVU33_gp62,AVU33_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643500,AVU33_gp63,AVU33_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643501,AVU33_gp64,AVU33_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643502,AVU33_gp65,AVU33_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643503,AVU33_gp66,AVU33_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643504,AVU33_gp67,AVU33_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643505,AVU33_gp68,AVU33_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643506,AVU33_gp69,AVU33_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643507,AVU33_gp70,AVU33_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643508,AVU33_gp71,AVU33_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643509,AVU33_gp72,AVU33_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643510,AVU33_gp73,AVU33_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643511,AVU33_gp74,AVU33_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643512,AVU33_gp75,AVU33_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643513,AVU33_gp76,AVU33_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643514,AVU33_gp77,AVU33_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643515,AVU33_gp78,AVU33_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643516,AVU33_gp79,AVU33_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643517,AVU33_gp80,AVU33_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643518,AVU33_gp81,AVU33_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643519,AVU33_gp82,AVU33_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643520,AVU33_gp83,AVU33_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643521,AVU33_gp84,AVU33_gp84,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1610838,26643522,AVU33_gp85,AVU33_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643523,AVU33_gp86,AVU33_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643524,AVU33_gp87,AVU33_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610838,26643525,AVU33_gp01,AVU33_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1610838,26680754,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
