#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772315,40077559,2,FDH50_gp02,SONNY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772315,40077560,3,FDH50_gp03,SONNY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772315,40077561,4,FDH50_gp04,SONNY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772315,40077562,5,FDH50_gp05,SONNY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077563,6,FDH50_gp06,SONNY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077564,7,FDH50_gp07,SONNY_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1772315,40077565,8,FDH50_gp08,SONNY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077566,9,FDH50_gp09,SONNY_9,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772315,40077567,10,FDH50_gp10,SONNY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077568,11,FDH50_gp11,SONNY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077569,12,FDH50_gp12,SONNY_12,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772315,40077570,13,FDH50_gp13,SONNY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077571,14,FDH50_gp14,SONNY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077572,15,FDH50_gp15,SONNY_15,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201221,-
1772315,40077573,16,FDH50_gp16,SONNY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077574,17,FDH50_gp17,SONNY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077575,18,FDH50_gp18,SONNY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077576,19,FDH50_gp19,SONNY_19,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772315,40077577,20,FDH50_gp20,SONNY_20,-,-,-,LysM,protein-coding,-,-,-,LysM,20201221,-
1772315,40077578,21,FDH50_gp21,SONNY_21,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772315,40077579,22,FDH50_gp22,SONNY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077580,23,FDH50_gp23,SONNY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772315,40077581,24,FDH50_gp24,SONNY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1772315,40077582,25,FDH50_gp25,SONNY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077583,26,FDH50_gp26,SONNY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077584,27,FDH50_gp27,SONNY_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772315,40077585,28,FDH50_gp28,SONNY_28,-,-,-,gendolysin,protein-coding,-,-,-,gendolysin,20201221,-
1772315,40077586,29,FDH50_gp29,SONNY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077587,30,FDH50_gp30,SONNY_30,-,-,-,tail lysozyme,protein-coding,-,-,-,tail lysozyme,20210129,-
1772315,40077588,31,FDH50_gp31,SONNY_31,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20210424,-
1772315,40077589,32,FDH50_gp32,SONNY_32,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772315,40077590,33,FDH50_gp33,SONNY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077591,34,FDH50_gp34,SONNY_34,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1772315,40077592,35,FDH50_gp35,SONNY_35,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20210129,-
1772315,40077593,36,FDH50_gp36,SONNY_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1772315,40077594,37,FDH50_gp37,SONNY_37,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1772315,40077595,38,FDH50_gp38,SONNY_38,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772315,40077596,39,FDH50_gp39,SONNY_39,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1772315,40077597,40,FDH50_gp40,SONNY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077598,41,FDH50_gp41,SONNY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077599,42,FDH50_gp42,SONNY_42,-,-,-,RusA,protein-coding,-,-,-,RusA,20201221,-
1772315,40077600,43,FDH50_gp43,SONNY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077601,44,FDH50_gp44,SONNY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077602,45,FDH50_gp45,SONNY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077603,46,FDH50_gp46,SONNY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077604,47,FDH50_gp47,SONNY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077605,48,FDH50_gp48,SONNY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077606,49,FDH50_gp49,SONNY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077607,50,FDH50_gp50,SONNY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077608,51,FDH50_gp51,SONNY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077609,52,FDH50_gp52,SONNY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077610,53,FDH50_gp53,SONNY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077611,54,FDH50_gp54,SONNY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077612,55,FDH50_gp55,SONNY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077613,56,FDH50_gp56,SONNY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077614,57,FDH50_gp57,SONNY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077615,58,FDH50_gp58,SONNY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077616,59,FDH50_gp59,SONNY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077617,60,FDH50_gp60,SONNY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077618,61,FDH50_gp61,SONNY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077619,62,FDH50_gp62,SONNY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772315,40077620,63,FDH50_gp63,SONNY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
