#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1980139,40076539,ybeZ,FDH44_gp001,LAV_00001,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1980139,40076540,FDH44_gp002,FDH44_gp002,LAV_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076541,FDH44_gp003,FDH44_gp003,LAV_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076542,FDH44_gp004,FDH44_gp004,LAV_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076543,FDH44_gp005,FDH44_gp005,LAV_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076544,FDH44_gp006,FDH44_gp006,LAV_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076545,FDH44_gp007,FDH44_gp007,LAV_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076546,FDH44_gp008,FDH44_gp008,LAV_00008,-,-,-,capsid family protein,protein-coding,-,-,-,capsid family protein,20200910,-
1980139,40076547,FDH44_gp009,FDH44_gp009,LAV_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076548,FDH44_gp010,FDH44_gp010,LAV_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076549,FDH44_gp011,FDH44_gp011,LAV_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076550,FDH44_gp012,FDH44_gp012,LAV_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076551,FDH44_gp013,FDH44_gp013,LAV_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076552,FDH44_gp014,FDH44_gp014,LAV_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076553,FDH44_gp015,FDH44_gp015,LAV_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076554,FDH44_gp016,FDH44_gp016,LAV_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076555,FDH44_gp017,FDH44_gp017,LAV_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076556,FDH44_gp018,FDH44_gp018,LAV_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076557,FDH44_gp019,FDH44_gp019,LAV_00019,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20200910,-
1980139,40076558,FDH44_gp020,FDH44_gp020,LAV_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1980139,40076559,FDH44_gp021,FDH44_gp021,LAV_00021,-,-,-,F5/8 type C domain protein,protein-coding,-,-,-,F5/8 type C domain protein,20200910,-
1980139,40076560,FDH44_gp022,FDH44_gp022,LAV_00022,-,-,-,NlpC/P60 family protein,protein-coding,-,-,-,NlpC/P60 family protein,20200910,-
