#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296662,18989704,DAVIES_2,DAVIES_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296662,18989705,DAVIES_3,DAVIES_3,-,-,-,-,"portal protein, SPP1 family",protein-coding,-,-,-,"portal protein, SPP1 family",20200629,-
1296662,18989706,DAVIES_4,DAVIES_4,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1296662,18989707,DAVIES_5,DAVIES_5,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
1296662,18989708,DAVIES_6,DAVIES_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989709,DAVIES_7,DAVIES_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1296662,18989710,DAVIES_8,DAVIES_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989711,DAVIES_9,DAVIES_9,-,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20200629,-
1296662,18989712,DAVIES_10,DAVIES_10,-,-,-,-,head/tail joining protein,protein-coding,-,-,-,head/tail joining protein,20200629,-
1296662,18989713,DAVIES_11,DAVIES_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989714,DAVIES_12,DAVIES_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989715,DAVIES_13,DAVIES_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989716,DAVIES_14,DAVIES_14,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1296662,18989717,DAVIES_15,DAVIES_15,-,-,-,-,core tail protein,protein-coding,-,-,-,core tail protein,20200629,-
1296662,18989718,DAVIES_16,DAVIES_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989719,DAVIES_17,DAVIES_17,-,-,-,-,phage xkdN-like protein,protein-coding,-,-,-,phage xkdN-like protein,20200629,-
1296662,18989720,DAVIES_18,DAVIES_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989721,DAVIES_19,DAVIES_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989722,DAVIES_20,DAVIES_20,-,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1296662,18989723,DAVIES_21,DAVIES_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989724,DAVIES_22,DAVIES_22,-,-,-,-,LysM domain-containing protein,protein-coding,-,-,-,LysM domain-containing protein,20200629,-
1296662,18989725,DAVIES_23,DAVIES_23,-,-,-,-,late control D protein,protein-coding,-,-,-,late control D protein,20200629,-
1296662,18989726,DAVIES_24,DAVIES_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989727,DAVIES_25,DAVIES_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989728,DAVIES_26,DAVIES_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989729,DAVIES_27,DAVIES_27,-,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20200629,-
1296662,18989730,DAVIES_28,DAVIES_28,-,-,-,-,phage-like element PBSX protein,protein-coding,-,-,-,phage-like element PBSX protein,20200629,-
1296662,18989731,DAVIES_29,DAVIES_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989732,DAVIES_30,DAVIES_30,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1296662,18989733,DAVIES_31,DAVIES_31,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1296662,18989734,DAVIES_32,DAVIES_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989735,DAVIES_33,DAVIES_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989736,DAVIES_34,DAVIES_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989737,DAVIES_35,DAVIES_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296662,18989738,DAVIES_36,DAVIES_36,-,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase protein,protein-coding,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase protein,20200629,-
1296662,18989739,DAVIES_37,DAVIES_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989740,DAVIES_38,DAVIES_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989741,DAVIES_39,DAVIES_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989742,DAVIES_40,DAVIES_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989743,DAVIES_41,DAVIES_41,-,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20200629,-
1296662,18989744,DAVIES_42,DAVIES_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989745,DAVIES_43,DAVIES_43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1296662,18989746,DAVIES_44,DAVIES_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296662,18989747,DAVIES_45,DAVIES_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296662,18989748,DAVIES_46,DAVIES_46,-,-,-,-,accessory gene regulator B family protein,protein-coding,-,-,-,accessory gene regulator B family protein,20200629,-
1296662,18989749,DAVIES_47,DAVIES_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989750,DAVIES_48,DAVIES_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989751,DAVIES_49,DAVIES_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989752,DAVIES_50,DAVIES_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989753,DAVIES_51,DAVIES_51,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296662,18989754,DAVIES_52,DAVIES_52,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296662,18989755,DAVIES_53,DAVIES_53,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1296662,18989756,DAVIES_54,DAVIES_54,-,-,-,-,Arc-like DNA binding domain,protein-coding,-,-,-,Arc-like DNA binding domain,20200629,-
1296662,18989757,DAVIES_55,DAVIES_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989758,DAVIES_56,DAVIES_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989759,DAVIES_57,DAVIES_57,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296662,18989760,DAVIES_58,DAVIES_58,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200629,-
1296662,18989761,DAVIES_59,DAVIES_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989762,DAVIES_60,DAVIES_60,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1296662,18989763,DAVIES_61,DAVIES_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989764,DAVIES_62,DAVIES_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989765,DAVIES_63,DAVIES_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989766,DAVIES_64,DAVIES_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989767,DAVIES_65,DAVIES_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989768,DAVIES_66,DAVIES_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989769,DAVIES_67,DAVIES_67,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1296662,18989770,DAVIES_68,DAVIES_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989771,DAVIES_69,DAVIES_69,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200629,-
1296662,18989772,DAVIES_70,DAVIES_70,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
1296662,18989773,DAVIES_71,DAVIES_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1296662,18989774,DAVIES_72,DAVIES_72,-,-,-,-,antrirepressor,protein-coding,-,-,-,antrirepressor,20200629,-
1296662,18989775,DAVIES_73,DAVIES_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
