#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852627,29068275,BI037_gp50,BI037_gp50,MP2_gp46,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1852627,29068276,BI037_gp11,BI037_gp11,MP2_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068277,BI037_gp46,BI037_gp46,MP2_gp42,-,-,-,internal virion protein A,protein-coding,-,-,-,internal virion protein A,20201221,-
1852627,29068278,BI037_gp49,BI037_gp49,MP2_gp45,-,-,-,internal virion protein D,protein-coding,-,-,-,internal virion protein D,20201221,-
1852627,29068279,BI037_gp32,BI037_gp32,MP2_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068280,BI037_gp55,BI037_gp55,MP2_gp50A,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068281,BI037_gp27,BI037_gp27,MP2_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068282,BI037_gp51,BI037_gp51,MP2_gp47,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1852627,29068283,BI037_gp41,BI037_gp41,MP2_gp37,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20201221,-
1852627,29068284,BI037_gp14,BI037_gp14,MP2_gp13A,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068285,BI037_gp43,BI037_gp43,MP2_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068286,BI037_gp42,BI037_gp42,MP2_gp38,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1852627,29068287,BI037_gp37,BI037_gp37,MP2_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852627,29068288,BI037_gp22,BI037_gp22,MP2_gp19,-,-,-,endonuclease I,protein-coding,-,-,-,endonuclease I,20201221,-
1852627,29068289,BI037_gp45,BI037_gp45,MP2_gp41,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
