#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089115,18560747,2,CM06_gp02,BABSIELLA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1089115,18560748,3,CM06_gp03,BABSIELLA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560749,4,CM06_gp04,BABSIELLA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1089115,18560750,5,CM06_gp05,BABSIELLA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560751,6,CM06_gp06,BABSIELLA_6,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1089115,18560752,7,CM06_gp07,BABSIELLA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1089115,18560753,8,CM06_gp08,BABSIELLA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560754,9,CM06_gp09,BABSIELLA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560755,10,CM06_gp10,BABSIELLA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560756,11,CM06_gp11,BABSIELLA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560757,12,CM06_gp12,BABSIELLA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560758,13,CM06_gp13,BABSIELLA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560759,15,CM06_gp14,BABSIELLA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1089115,18560760,16,CM06_gp16,BABSIELLA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1089115,18560761,14,CM06_gp15,BABSIELLA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1089115,18560762,17,CM06_gp17,BABSIELLA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089115,18560763,18,CM06_gp18,BABSIELLA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560764,19,CM06_gp19,BABSIELLA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1089115,18560765,20,CM06_gp20,BABSIELLA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560766,21,CM06_gp21,BABSIELLA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560767,22,CM06_gp22,BABSIELLA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560768,23,CM06_gp23,BABSIELLA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560769,24,CM06_gp24,BABSIELLA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560770,25,CM06_gp25,BABSIELLA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560771,26,CM06_gp26,BABSIELLA_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1089115,18560772,27,CM06_gp27,BABSIELLA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1089115,18560773,28,CM06_gp28,BABSIELLA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560774,29,CM06_gp29,BABSIELLA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560775,30,CM06_gp30,BABSIELLA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560776,31,CM06_gp31,BABSIELLA_31,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20200927,-
1089115,18560777,32,CM06_gp32,BABSIELLA_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1089115,18560778,33,CM06_gp33,BABSIELLA_33,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1089115,18560779,34,CM06_gp34,BABSIELLA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560780,35,CM06_gp35,BABSIELLA_35,-,-,-,Xis,protein-coding,-,-,-,Xis,20200927,-
1089115,18560781,36,CM06_gp36,BABSIELLA_36,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200927,-
1089115,18560782,37,CM06_gp37,BABSIELLA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560783,38,CM06_gp38,BABSIELLA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560784,39,CM06_gp39,BABSIELLA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560785,40,CM06_gp40,BABSIELLA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560786,41,CM06_gp41,BABSIELLA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560787,42,CM06_gp42,BABSIELLA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560788,43,CM06_gp43,BABSIELLA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560789,44,CM06_gp44,BABSIELLA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560790,45,CM06_gp45,BABSIELLA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560791,46,CM06_gp46,BABSIELLA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560792,47,CM06_gp47,BABSIELLA_47,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20200927,-
1089115,18560793,48,CM06_gp48,BABSIELLA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560794,49,CM06_gp49,BABSIELLA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560795,50,CM06_gp50,BABSIELLA_50,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210424,-
1089115,18560796,51,CM06_gp51,BABSIELLA_51,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200927,-
1089115,18560797,52,CM06_gp52,BABSIELLA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560798,53,CM06_gp53,BABSIELLA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560799,54,CM06_gp54,BABSIELLA_54,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1089115,18560800,56,CM06_gp56,BABSIELLA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560801,55,CM06_gp55,BABSIELLA_55,-,-,-,DNA methylase domain protein,protein-coding,-,-,-,DNA methylase domain protein,20200927,-
1089115,18560802,57,CM06_gp57,BABSIELLA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560803,58,CM06_gp58,BABSIELLA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560804,59,CM06_gp59,BABSIELLA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560805,60,CM06_gp60,BABSIELLA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560806,61,CM06_gp61,BABSIELLA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560807,62,CM06_gp62,BABSIELLA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560808,63,CM06_gp63,BABSIELLA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560809,64,CM06_gp64,BABSIELLA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560810,65,CM06_gp65,BABSIELLA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560811,66,CM06_gp66,BABSIELLA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560812,67,CM06_gp67,BABSIELLA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560813,68,CM06_gp68,BABSIELLA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560814,69,CM06_gp69,BABSIELLA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560815,70,CM06_gp70,BABSIELLA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560816,71,CM06_gp71,BABSIELLA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560817,72,CM06_gp72,BABSIELLA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560818,73,CM06_gp73,BABSIELLA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560819,74,CM06_gp74,BABSIELLA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560820,75,CM06_gp75,BABSIELLA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560821,76,CM06_gp76,BABSIELLA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560822,77,CM06_gp77,BABSIELLA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560823,78,CM06_gp78,BABSIELLA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18560824,1,CM06_gp01,BABSIELLA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089115,18669587,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Babsiella; Mycobacterium phage Babsiella).,other,-,-,-,-,20200513,-
