#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229792,13827081,2,D294_gp02,P11_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229792,13827082,3,D294_gp03,P11_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229792,13827083,4,D294_gp04,P11_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827084,5,D294_gp05,P11_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229792,13827085,6,D294_gp06,P11_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229792,13827086,7,D294_gp07,P11_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229792,13827087,8,D294_gp08,P11_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827088,9,D294_gp09,P11_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827089,10,D294_gp10,P11_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827090,11,D294_gp11,P11_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229792,13827091,13,D294_gp12,P11_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229792,13827092,14,D294_gp14,P11_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229792,13827093,12,D294_gp13,P11_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229792,13827094,15,D294_gp15,P11_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229792,13827095,16,D294_gp16,P11_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229792,13827096,17,D294_gp17,P11_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229792,13827097,18,D294_gp18,P11_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827098,19,D294_gp19,P11_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229792,13827099,20,D294_gp20,P11_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229792,13827100,21,D294_gp21,P11_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229792,13827101,22,D294_gp22,P11_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827102,23,D294_gp23,P11_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827103,24,D294_gp24,P11_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827104,25,D294_gp25,P11_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827105,26,D294_gp26,P11_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827106,27,D294_gp27,P11_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229792,13827107,28,D294_gp28,P11_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827108,29,D294_gp29,P11_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827109,30,D294_gp30,P11_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827110,31,D294_gp31,P11_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827111,33,D294_gp33,P11_33,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1229792,13827112,34,D294_gp34,P11_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827113,35,D294_gp35,P11_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827114,36,D294_gp36,P11_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827115,37,D294_gp37,P11_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827116,38,D294_gp38,P11_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229792,13827117,40,D294_gp40,P11_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
