#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
425386,5236323,PAV1_ORF153,PAV1_ORF153,-,-,-,-,leucine zipper and winged helix DNA-binding domain,protein-coding,-,-,-,leucine zipper and winged helix DNA-binding domain,20201220,-
425386,5236324,PAV1_ORF190,PAV1_ORF190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236325,PAV1_ORF136,PAV1_ORF136,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236326,PAV1_ORF898,PAV1_ORF898,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236327,PAV1_ORF375,PAV1_ORF375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236328,PAV1_ORF137,PAV1_ORF137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236329,PAV1_ORF180b,PAV1_ORF180b,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236330,PAV1_ORF89,PAV1_ORF89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236331,PAV1_ORF138,PAV1_ORF138,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236332,PAV1_ORF678,PAV1_ORF678,-,-,-,-,concanavalin A-like lectin/glucanase,protein-coding,-,-,-,concanavalin A-like lectin/glucanase,20201220,-
425386,5236333,PAV1_ORF140,PAV1_ORF140,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236334,PAV1_ORF676,PAV1_ORF676,-,-,-,-,concanavalin A-like lectin/glucanase,protein-coding,-,-,-,concanavalin A-like lectin/glucanase,20201220,-
425386,5236335,PAV1_ORF214,PAV1_ORF214,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236336,PAV1_ORF293,PAV1_ORF293,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236337,PAV1_ORF158,PAV1_ORF158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236338,PAV1_ORF109,PAV1_ORF109,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236339,PAV1_ORF121,PAV1_ORF121,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236340,PAV1_ORF82,PAV1_ORF82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236341,PAV1_ORF62,PAV1_ORF62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236342,PAV1_ORF180a,PAV1_ORF180a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236343,PAV1_ORF52b,PAV1_ORF52b,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236344,PAV1_ORF528,PAV1_ORF528,-,-,-,-,winged helix,protein-coding,-,-,-,winged helix,20201220,-
425386,5236345,PAV1_ORF87,PAV1_ORF87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
425386,5236346,PAV1_ORF52a,PAV1_ORF52a,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
425386,5236347,PAV1_ORF59,PAV1_ORF59,-,-,-,-,ribbon-helix-helix protein,protein-coding,-,-,-,ribbon-helix-helix protein,20201220,-
425386,5290864,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190918,-
