#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108120,40101368,2,FDJ48_gp002,PBI_WAITS_2,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20210424,-
2108120,40101369,3,FDJ48_gp003,PBI_WAITS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101370,4,FDJ48_gp004,PBI_WAITS_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2108120,40101371,5,FDJ48_gp005,PBI_WAITS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101372,6,FDJ48_gp006,PBI_WAITS_6,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
2108120,40101373,7,FDJ48_gp007,PBI_WAITS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101374,8,FDJ48_gp008,PBI_WAITS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108120,40101375,9,FDJ48_gt001,PBI_WAITS_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2108120,40101376,10,FDJ48_gt002,PBI_WAITS_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2108120,40101377,11,FDJ48_gt003,PBI_WAITS_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2108120,40101378,12,FDJ48_gp098,PBI_WAITS_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200912,-
2108120,40101379,1,FDJ48_gp001,PBI_WAITS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108120,40101380,13,FDJ48_gp097,PBI_WAITS_13,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2108120,40101381,14,FDJ48_gp096,PBI_WAITS_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2108120,40101382,15,FDJ48_gp095,PBI_WAITS_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
