#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
52754,11341081,CYTB,-,-,-,MT,-,Cytb,protein-coding,-,-,-,Cytb|cytochrome b,20150626,-
52754,11341082,ND1,-,-,-,MT,-,Nad1,protein-coding,-,-,-,Nad1|NADH dehydrogenase subunit 1,20160325,-
52754,11341083,ND2,-,-,-,MT,-,Nad2,protein-coding,-,-,-,Nad2|NADH dehydrogenase subunit 2,20160813,-
52754,11341084,COX1,-,-,-,MT,-,Cox1,protein-coding,-,-,-,Cox1|cytochrome c oxidase subunit I,20160813,-
52754,11341085,COX2,-,-,-,MT,-,Cox2,protein-coding,-,-,-,Cox2|cytochrome c oxidase subunit II,20160813,-
52754,11341086,ATP8,-,-,-,MT,-,Atp8,protein-coding,-,-,-,Atp8|ATP synthase F0 subunit 8,20160813,-
52754,11341087,ATP6,-,-,-,MT,-,Atp6,protein-coding,-,-,-,Atp6|ATP synthase F0 subunit 6,20150626,-
52754,11341088,COX3,-,-,-,MT,-,Cox3,protein-coding,-,-,-,Cox3|cytochrome c oxidase subunit III,20160813,-
52754,11341089,ND3,-,-,-,MT,-,Nad3,protein-coding,-,-,-,Nad3|NADH dehydrogenase subunit 3,20150626,-
52754,11341090,ND5,-,-,-,MT,-,Nad5,protein-coding,-,-,-,Nad5|NADH dehydrogenase subunit 5,20160813,-
52754,11341091,ND4,-,-,-,MT,-,Nad4,protein-coding,-,-,-,Nad4|NADH dehydrogenase subunit 4,20160813,-
52754,11341092,ND4L,-,-,-,MT,-,Nad4l,protein-coding,-,-,-,Nad4l|NADH dehydrogenase subunit 4L,20150626,-
52754,11341093,ND6,-,-,-,MT,-,Nad6,protein-coding,-,-,-,Nad6|NADH dehydrogenase subunit 6,20150626,-
