#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698356,26629505,PHATNISS_2,PHATNISS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698356,26629506,PHATNISS_3,PHATNISS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1698356,26629507,PHATNISS_4,PHATNISS_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1698356,26629508,PHATNISS_5,PHATNISS_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1698356,26629509,PHATNISS_6,PHATNISS_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1698356,26629510,PHATNISS_7,PHATNISS_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1698356,26629511,PHATNISS_8,PHATNISS_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1698356,26629512,PHATNISS_9,PHATNISS_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629513,PHATNISS_10,PHATNISS_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1698356,26629514,PHATNISS_11,PHATNISS_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1698356,26629515,PHATNISS_13,PHATNISS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698356,26629516,PHATNISS_14,PHATNISS_14,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210417,-
1698356,26629517,PHATNISS_12,PHATNISS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698356,26629518,PHATNISS_15,PHATNISS_15,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1698356,26629519,PHATNISS_16,PHATNISS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698356,26629520,PHATNISS_17,PHATNISS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698356,26629521,PHATNISS_18,PHATNISS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698356,26629522,PHATNISS_19,PHATNISS_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629523,PHATNISS_20,PHATNISS_20,-,-,-,-,D-ala D-ala carboxypeptidase,protein-coding,-,-,-,D-ala D-ala carboxypeptidase,20201221,-
1698356,26629524,PHATNISS_21,PHATNISS_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629525,PHATNISS_22,PHATNISS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629526,PHATNISS_23,PHATNISS_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629527,PHATNISS_24,PHATNISS_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698356,26629528,PHATNISS_25,PHATNISS_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629529,PHATNISS_26,PHATNISS_26,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1698356,26629530,PHATNISS_27,PHATNISS_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629531,PHATNISS_28,PHATNISS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629532,PHATNISS_29,PHATNISS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629533,PHATNISS_30,PHATNISS_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629534,PHATNISS_31,PHATNISS_31,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1698356,26629535,PHATNISS_32,PHATNISS_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1698356,26629536,PHATNISS_33,PHATNISS_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1698356,26629537,PHATNISS_34,PHATNISS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629538,PHATNISS_35,PHATNISS_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629539,PHATNISS_36,PHATNISS_36,-,-,-,-,Dna-Q like exonuclease,protein-coding,-,-,-,Dna-Q like exonuclease,20201221,-
1698356,26629540,PHATNISS_37,PHATNISS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629541,PHATNISS_38,PHATNISS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629542,PHATNISS_39,PHATNISS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629543,PHATNISS_40,PHATNISS_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629544,PHATNISS_41,PHATNISS_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
1698356,26629545,PHATNISS_42,PHATNISS_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629546,PHATNISS_43,PHATNISS_43,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201221,-
1698356,26629547,PHATNISS_44,PHATNISS_44,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1698356,26629548,PHATNISS_45,PHATNISS_45,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1698356,26629549,PHATNISS_46,PHATNISS_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629550,PHATNISS_47,PHATNISS_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629551,PHATNISS_48,PHATNISS_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629552,PHATNISS_49,PHATNISS_49,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20210212,-
1698356,26629553,PHATNISS_50,PHATNISS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629554,PHATNISS_51,PHATNISS_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629555,PHATNISS_52,PHATNISS_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629556,PHATNISS_53,PHATNISS_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629557,PHATNISS_54,PHATNISS_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629558,PHATNISS_55,PHATNISS_55,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1698356,26629559,PHATNISS_56,PHATNISS_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629560,PHATNISS_57,PHATNISS_57,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1698356,26629561,PHATNISS_58,PHATNISS_58,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1698356,26629562,PHATNISS_59,PHATNISS_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629563,PHATNISS_60,PHATNISS_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629564,PHATNISS_61,PHATNISS_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629565,PHATNISS_62,PHATNISS_62,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1698356,26629566,PHATNISS_63,PHATNISS_63,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1698356,26629567,PHATNISS_64,PHATNISS_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629568,PHATNISS_65,PHATNISS_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629569,PHATNISS_66,PHATNISS_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629570,PHATNISS_67,PHATNISS_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629571,PHATNISS_68,PHATNISS_68,-,-,-,-,tRNA methyl transferase,protein-coding,-,-,-,tRNA methyl transferase,20201221,-
1698356,26629572,PHATNISS_69,PHATNISS_69,-,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20201221,-
1698356,26629573,PHATNISS_70,PHATNISS_70,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1698356,26629574,PHATNISS_71,PHATNISS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629575,PHATNISS_72,PHATNISS_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629576,PHATNISS_73,PHATNISS_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629577,PHATNISS_74,PHATNISS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629578,PHATNISS_75,PHATNISS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629579,PHATNISS_76,PHATNISS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629580,PHATNISS_77,PHATNISS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629581,PHATNISS_78,PHATNISS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629582,PHATNISS_79,PHATNISS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629583,PHATNISS_80,PHATNISS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629584,PHATNISS_81,PHATNISS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629585,PHATNISS_82,PHATNISS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629586,PHATNISS_83,PHATNISS_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629587,PHATNISS_84,PHATNISS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629588,PHATNISS_85,PHATNISS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629589,PHATNISS_86,PHATNISS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629590,PHATNISS_87,PHATNISS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629591,PHATNISS_88,PHATNISS_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629592,PHATNISS_89,PHATNISS_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629593,PHATNISS_90,PHATNISS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629594,PHATNISS_91,PHATNISS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629595,PHATNISS_92,PHATNISS_92,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210424,-
1698356,26629596,PHATNISS_93,PHATNISS_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629597,PHATNISS_94,PHATNISS_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629598,PHATNISS_95,PHATNISS_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629599,PHATNISS_96,PHATNISS_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629600,PHATNISS_97,PHATNISS_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629601,PHATNISS_98,PHATNISS_98,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1698356,26629602,PHATNISS_99,PHATNISS_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698356,26629603,PHATNISS_100,PHATNISS_100,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1698356,26629604,PHATNISS_101,PHATNISS_101,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1698356,26629605,PHATNISS_1,PHATNISS_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1698356,26680917,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Phatniss).,other,-,-,-,-,20200513,-
