#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458725,22110628,2,PBI_SOTO_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458725,22110629,3,PBI_SOTO_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110630,4,PBI_SOTO_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110631,5,PBI_SOTO_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110632,6,PBI_SOTO_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201221,-
1458725,22110633,7,PBI_SOTO_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1458725,22110634,8,PBI_SOTO_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458725,22110635,9,PBI_SOTO_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
1458725,22110636,10,PBI_SOTO_10,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1458725,22110637,11,PBI_SOTO_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110638,12,PBI_SOTO_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1458725,22110639,13,PBI_SOTO_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110640,14,PBI_SOTO_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110641,15,PBI_SOTO_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110642,16,PBI_SOTO_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458725,22110643,17,PBI_SOTO_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
