#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2172042,40101518,FDJ50_gp02,FDJ50_gp02,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
2172042,40101519,FDJ50_gp03,FDJ50_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101520,FDJ50_gp04,FDJ50_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101521,FDJ50_gp05,FDJ50_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101522,FDJ50_gp06,FDJ50_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101523,FDJ50_gp07,FDJ50_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101524,FDJ50_gp08,FDJ50_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101525,FDJ50_gp09,FDJ50_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101526,FDJ50_gp10,FDJ50_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101527,FDJ50_gp11,FDJ50_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101528,FDJ50_gp12,FDJ50_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101529,FDJ50_gp13,FDJ50_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101530,FDJ50_gp14,FDJ50_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101531,FDJ50_gp15,FDJ50_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101532,FDJ50_gp16,FDJ50_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101533,FDJ50_gp17,FDJ50_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101534,FDJ50_gp18,FDJ50_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101535,FDJ50_gp19,FDJ50_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101536,FDJ50_gp20,FDJ50_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101537,FDJ50_gp21,FDJ50_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101538,FDJ50_gp22,FDJ50_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101539,FDJ50_gp23,FDJ50_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101540,FDJ50_gp24,FDJ50_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101541,FDJ50_gp25,FDJ50_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101542,FDJ50_gp26,FDJ50_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101543,FDJ50_gp27,FDJ50_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101544,FDJ50_gp28,FDJ50_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101545,FDJ50_gp29,FDJ50_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101546,FDJ50_gp30,FDJ50_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101547,FDJ50_gp31,FDJ50_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101548,FDJ50_gp32,FDJ50_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101549,FDJ50_gp33,FDJ50_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101550,FDJ50_gp34,FDJ50_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101551,FDJ50_gp35,FDJ50_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101552,FDJ50_gp36,FDJ50_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101553,FDJ50_gp37,FDJ50_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101554,FDJ50_gp38,FDJ50_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101555,FDJ50_gp39,FDJ50_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101556,FDJ50_gp40,FDJ50_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101557,FDJ50_gp41,FDJ50_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101558,FDJ50_gp42,FDJ50_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101559,FDJ50_gp43,FDJ50_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101560,FDJ50_gp44,FDJ50_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101561,FDJ50_gp45,FDJ50_gp45,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210424,-
2172042,40101562,FDJ50_gp46,FDJ50_gp46,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2172042,40101563,FDJ50_gp47,FDJ50_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101564,FDJ50_gp48,FDJ50_gp48,-,-,-,-,putative host interaction protein,protein-coding,-,-,-,putative host interaction protein,20201221,-
2172042,40101565,FDJ50_gp49,FDJ50_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101566,FDJ50_gp50,FDJ50_gp50,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2172042,40101567,FDJ50_gp51,FDJ50_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101568,FDJ50_gp52,FDJ50_gp52,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2172042,40101569,FDJ50_gp53,FDJ50_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101570,FDJ50_gp54,FDJ50_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101571,FDJ50_gp55,FDJ50_gp55,-,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20201221,-
2172042,40101572,FDJ50_gp56,FDJ50_gp56,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
2172042,40101573,FDJ50_gp57,FDJ50_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101574,FDJ50_gp58,FDJ50_gp58,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2172042,40101575,FDJ50_gp59,FDJ50_gp59,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
2172042,40101576,FDJ50_gp60,FDJ50_gp60,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2172042,40101577,FDJ50_gp61,FDJ50_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40101578,FDJ50_gp62,FDJ50_gp62,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2172042,40101579,FDJ50_gp63,FDJ50_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2172042,40101580,FDJ50_gp64,FDJ50_gp64,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
2172042,40101581,FDJ50_gp01,FDJ50_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2172042,40120578,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
