#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767561,60331618,56,I5H67_gp056,PBI_MOONBEAM_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2767561,60331619,57,I5H67_gp057,PBI_MOONBEAM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2767561,60331620,58,I5H67_gp058,PBI_MOONBEAM_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2767561,60331621,59,I5H67_gp059,PBI_MOONBEAM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331622,60,I5H67_gp060,PBI_MOONBEAM_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331623,61,I5H67_gp061,PBI_MOONBEAM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331624,62,I5H67_gp062,PBI_MOONBEAM_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2767561,60331625,63,I5H67_gp063,PBI_MOONBEAM_63,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2767561,60331626,64,I5H67_gp064,PBI_MOONBEAM_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2767561,60331627,65,I5H67_gp065,PBI_MOONBEAM_65,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2767561,60331628,66,I5H67_gp066,PBI_MOONBEAM_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2767561,60331629,67,I5H67_gp067,PBI_MOONBEAM_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331630,68,I5H67_gp068,PBI_MOONBEAM_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331631,69,I5H67_gp069,PBI_MOONBEAM_69,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210529,-
2767561,60331632,70,I5H67_gp070,PBI_MOONBEAM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331633,71,I5H67_gp071,PBI_MOONBEAM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331634,72,I5H67_gp072,PBI_MOONBEAM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331635,73,I5H67_gp073,PBI_MOONBEAM_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331636,74,I5H67_gp074,PBI_MOONBEAM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331637,75,I5H67_gp075,PBI_MOONBEAM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331638,76,I5H67_gp076,PBI_MOONBEAM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331639,77,I5H67_gp077,PBI_MOONBEAM_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
