#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2507711,55016456,HOV01_gp02,HOV01_gp02,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2507711,55016457,HOV01_gp03,HOV01_gp03,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210403,-
2507711,55016458,HOV01_gp04,HOV01_gp04,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2507711,55016459,HOV01_gp05,HOV01_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016460,HOV01_gp06,HOV01_gp06,-,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210403,-
2507711,55016461,HOV01_gp07,HOV01_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016462,HOV01_gp08,HOV01_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016463,HOV01_gp09,HOV01_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016464,HOV01_gp10,HOV01_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016465,HOV01_gp11,HOV01_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016466,HOV01_gp12,HOV01_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016467,HOV01_gp13,HOV01_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016468,HOV01_gp14,HOV01_gp14,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2507711,55016469,HOV01_gp15,HOV01_gp15,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210403,-
2507711,55016470,HOV01_gp16,HOV01_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016471,HOV01_gp17,HOV01_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016472,HOV01_gp18,HOV01_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507711,55016473,HOV01_gp19,HOV01_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016474,HOV01_gp20,HOV01_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016475,HOV01_gp21,HOV01_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016476,HOV01_gp22,HOV01_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016477,HOV01_gp23,HOV01_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016478,HOV01_gp24,HOV01_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016479,HOV01_gp25,HOV01_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016480,HOV01_gp26,HOV01_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016481,HOV01_gp27,HOV01_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016482,HOV01_gp28,HOV01_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016483,HOV01_gp29,HOV01_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016484,HOV01_gp30,HOV01_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016485,HOV01_gp31,HOV01_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016486,HOV01_gp32,HOV01_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016487,HOV01_gp33,HOV01_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016488,HOV01_gp34,HOV01_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016489,HOV01_gp35,HOV01_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016490,HOV01_gp36,HOV01_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016491,HOV01_gp37,HOV01_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016492,HOV01_gp38,HOV01_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016493,HOV01_gp39,HOV01_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016494,HOV01_gp40,HOV01_gp40,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2507711,55016495,HOV01_gp41,HOV01_gp41,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2507711,55016496,HOV01_gp42,HOV01_gp42,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210403,-
2507711,55016497,HOV01_gp43,HOV01_gp43,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210403,-
2507711,55016498,HOV01_gp44,HOV01_gp44,-,-,-,-,DUF2213 domain-containing protein,protein-coding,-,-,-,DUF2213 domain-containing protein,20210403,-
2507711,55016499,HOV01_gp45,HOV01_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016500,HOV01_gp46,HOV01_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507711,55016501,HOV01_gp47,HOV01_gp47,-,-,-,-,DUF2184 domain-containing protein,protein-coding,-,-,-,DUF2184 domain-containing protein,20210403,-
2507711,55016502,HOV01_gp48,HOV01_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016503,HOV01_gp49,HOV01_gp49,-,-,-,-,DUF4054 domain-containing protein,protein-coding,-,-,-,DUF4054 domain-containing protein,20210403,-
2507711,55016504,HOV01_gp50,HOV01_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016505,HOV01_gp51,HOV01_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016506,HOV01_gp52,HOV01_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507711,55016507,HOV01_gp53,HOV01_gp53,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210403,-
2507711,55016508,HOV01_gp54,HOV01_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016509,HOV01_gp55,HOV01_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2507711,55016510,HOV01_gp56,HOV01_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2507711,55016511,HOV01_gp57,HOV01_gp57,-,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210403,-
2507711,55016512,HOV01_gp58,HOV01_gp58,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210403,-
2507711,55016513,HOV01_gp59,HOV01_gp59,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210403,-
2507711,55016514,HOV01_gp60,HOV01_gp60,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210403,-
2507711,55016515,HOV01_gp61,HOV01_gp61,-,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20210403,-
2507711,55016516,HOV01_gp62,HOV01_gp62,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210403,-
2507711,55016517,HOV01_gp63,HOV01_gp63,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2507711,55016518,HOV01_gp64,HOV01_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016519,HOV01_gp65,HOV01_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016520,HOV01_gp66,HOV01_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016521,HOV01_gp67,HOV01_gp67,-,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,protein-coding,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,20210403,-
2507711,55016522,HOV01_gp68,HOV01_gp68,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210403,-
2507711,55016523,HOV01_gp69,HOV01_gp69,-,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20210403,-
2507711,55016524,HOV01_gp70,HOV01_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507711,55016525,HOV01_gp71,HOV01_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507711,55016526,HOV01_gp01,HOV01_gp01,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2507711,55154316,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage vB_EcoS_IME542).,other,-,-,-,-,20200715,-
