#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283015,54998159,HOT76_gp02,HOT76_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2283015,54998160,HOT76_gp03,HOT76_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998161,HOT76_gp04,HOT76_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2283015,54998162,HOT76_gp05,HOT76_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2283015,54998163,HOT76_gp06,HOT76_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998164,HOT76_gp07,HOT76_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998165,HOT76_gp08,HOT76_gp08,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210403,-
2283015,54998166,HOT76_gp09,HOT76_gp09,-,-,-,-,pentapeptide repeat family protein,protein-coding,-,-,-,pentapeptide repeat family protein,20210403,-
2283015,54998167,HOT76_gp10,HOT76_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998168,HOT76_gp11,HOT76_gp11,-,-,-,-,restriction alleviation protein,protein-coding,-,-,-,restriction alleviation protein,20210403,-
2283015,54998169,HOT76_gp12,HOT76_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998170,HOT76_gp13,HOT76_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998171,HOT76_gp14,HOT76_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998172,HOT76_gp15,HOT76_gp15,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210403,-
2283015,54998173,HOT76_gp16,HOT76_gp16,-,-,-,-,main capsid protein,protein-coding,-,-,-,main capsid protein,20201221,-
2283015,54998174,HOT76_gp17,HOT76_gp17,-,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20210403,-
2283015,54998175,HOT76_gp18,HOT76_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998176,HOT76_gp19,HOT76_gp19,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210403,-
2283015,54998177,HOT76_gp20,HOT76_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998178,HOT76_gp21,HOT76_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998179,HOT76_gp22,HOT76_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998180,HOT76_gp23,HOT76_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2283015,54998181,HOT76_gp24,HOT76_gp24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2283015,54998182,HOT76_gp25,HOT76_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998183,HOT76_gp26,HOT76_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998184,HOT76_gp27,HOT76_gp27,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210403,-
2283015,54998185,HOT76_gp28,HOT76_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998186,HOT76_gp29,HOT76_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998187,HOT76_gp30,HOT76_gp30,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210403,-
2283015,54998188,HOT76_gp31,HOT76_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998189,HOT76_gp32,HOT76_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998190,HOT76_gp33,HOT76_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2283015,54998191,HOT76_gp34,HOT76_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998192,HOT76_gp35,HOT76_gp35,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210403,-
2283015,54998193,HOT76_gp36,HOT76_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998194,HOT76_gp37,HOT76_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998195,HOT76_gp38,HOT76_gp38,-,-,-,-,adsorption protein,protein-coding,-,-,-,adsorption protein,20201221,-
2283015,54998196,HOT76_gp39,HOT76_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998197,HOT76_gp40,HOT76_gp40,-,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20210403,-
2283015,54998198,HOT76_gp41,HOT76_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998199,HOT76_gp42,HOT76_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,54998200,HOT76_gp43,HOT76_gp43,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210403,-
2283015,54998201,HOT76_gp44,HOT76_gp44,-,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210403,-
2283015,54998202,HOT76_gp01,HOT76_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283015,55154074,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
