#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1777054,28800637,BH777_gp02,BH777_gp02,JBD93_2,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1777054,28800638,BH777_gp03,BH777_gp03,JBD93_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800639,BH777_gp04,BH777_gp04,JBD93_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800640,BH777_gp05,BH777_gp05,JBD93_5,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201221,-
1777054,28800641,BH777_gp06,BH777_gp06,JBD93_6,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200629,-
1777054,28800642,BH777_gp07,BH777_gp07,JBD93_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800643,BH777_gp08,BH777_gp08,JBD93_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800644,BH777_gp09,BH777_gp09,JBD93_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800645,BH777_gp10,BH777_gp10,JBD93_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800646,BH777_gp11,BH777_gp11,JBD93_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800647,BH777_gp12,BH777_gp12,JBD93_12,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210417,-
1777054,28800648,BH777_gp13,BH777_gp13,JBD93_13,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
1777054,28800649,BH777_gp14,BH777_gp14,JBD93_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800650,BH777_gp15,BH777_gp15,JBD93_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800651,BH777_gp16,BH777_gp16,JBD93_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800652,BH777_gp17,BH777_gp17,JBD93_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800653,BH777_gp18,BH777_gp18,JBD93_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800654,BH777_gp19,BH777_gp19,JBD93_19,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210403,-
1777054,28800655,BH777_gp20,BH777_gp20,JBD93_20,-,-,-,putative integral membrane protein,protein-coding,-,-,-,putative integral membrane protein,20210212,-
1777054,28800656,BH777_gp21,BH777_gp21,JBD93_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800657,BH777_gp22,BH777_gp22,JBD93_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800658,BH777_gp23,BH777_gp23,JBD93_23,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1777054,28800659,BH777_gp24,BH777_gp24,JBD93_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800660,BH777_gp25,BH777_gp25,JBD93_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800661,BH777_gp26,BH777_gp26,JBD93_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800662,BH777_gp27,BH777_gp27,JBD93_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800663,BH777_gp28,BH777_gp28,JBD93_28,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210424,-
1777054,28800664,BH777_gp29,BH777_gp29,JBD93_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800665,BH777_gp30,BH777_gp30,JBD93_30,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1777054,28800666,BH777_gp31,BH777_gp31,JBD93_31,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1777054,28800667,BH777_gp32,BH777_gp32,JBD93_32,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210129,-
1777054,28800668,BH777_gp33,BH777_gp33,JBD93_33,-,-,-,anti-CRISPR protein AcrF3,protein-coding,-,-,-,anti-CRISPR protein AcrF3,20210123,-
1777054,28800669,BH777_gp34,BH777_gp34,JBD93_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800670,BH777_gp35,BH777_gp35,JBD93_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800671,BH777_gp36,BH777_gp36,JBD93_36,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1777054,28800672,BH777_gp37,BH777_gp37,JBD93_37,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210403,-
1777054,28800673,BH777_gp38,BH777_gp38,JBD93_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800674,BH777_gp39,BH777_gp39,JBD93_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800675,BH777_gp40,BH777_gp40,JBD93_40,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210129,-
1777054,28800676,BH777_gp41,BH777_gp41,JBD93_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800677,BH777_gp42,BH777_gp42,JBD93_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800678,BH777_gp43,BH777_gp43,JBD93_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800679,BH777_gp44,BH777_gp44,JBD93_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800680,BH777_gp45,BH777_gp45,JBD93_45,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1777054,28800681,BH777_gp46,BH777_gp46,JBD93_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800682,BH777_gp47,BH777_gp47,JBD93_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800683,BH777_gp48,BH777_gp48,JBD93_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800684,BH777_gp49,BH777_gp49,JBD93_49,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1777054,28800685,BH777_gp50,BH777_gp50,JBD93_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800686,BH777_gp51,BH777_gp51,JBD93_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800687,BH777_gp52,BH777_gp52,JBD93_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800688,BH777_gp53,BH777_gp53,JBD93_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800689,BH777_gp54,BH777_gp54,JBD93_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800690,BH777_gp55,BH777_gp55,JBD93_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777054,28800691,BH777_gp01,BH777_gp01,JBD93_1,-,-,-,c repressor,protein-coding,-,-,-,c repressor,20200629,-
1777054,29122338,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
