#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315539,63925900,2,KDW72_gp02,SEA_GRIZZLY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2315539,63925901,3,KDW72_gp03,SEA_GRIZZLY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2315539,63925902,4,KDW72_gp04,SEA_GRIZZLY_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210422,-
2315539,63925903,5,KDW72_gp05,SEA_GRIZZLY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925904,6,KDW72_gp06,SEA_GRIZZLY_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2315539,63925905,7,KDW72_gp07,SEA_GRIZZLY_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2315539,63925906,8,KDW72_gp08,SEA_GRIZZLY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925907,9,KDW72_gp09,SEA_GRIZZLY_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210422,-
2315539,63925908,10,KDW72_gp10,SEA_GRIZZLY_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2315539,63925909,11,KDW72_gp11,SEA_GRIZZLY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925910,12,KDW72_gp12,SEA_GRIZZLY_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2315539,63925911,13,KDW72_gp13,SEA_GRIZZLY_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2315539,63925912,15,KDW72_gp14,SEA_GRIZZLY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2315539,63925913,16,KDW72_gp16,SEA_GRIZZLY_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2315539,63925914,14,KDW72_gp15,SEA_GRIZZLY_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2315539,63925915,17,KDW72_gp17,SEA_GRIZZLY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315539,63925916,18,KDW72_gp18,SEA_GRIZZLY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315539,63925917,19,KDW72_gp19,SEA_GRIZZLY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925918,20,KDW72_gp20,SEA_GRIZZLY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315539,63925919,21,KDW72_gp21,SEA_GRIZZLY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925920,22,KDW72_gp22,SEA_GRIZZLY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315539,63925921,23,KDW72_gp23,SEA_GRIZZLY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925922,24,KDW72_gp24,SEA_GRIZZLY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
