#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772093,65131855,KNV60_gp85,KNV60_gp85,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210608,-
2772093,65131856,KNV60_gp84,KNV60_gp84,-,-,-,-,VOG5047,protein-coding,-,-,-,VOG5047,20210608,-
2772093,65131857,KNV60_gp41,KNV60_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131858,KNV60_gp24,KNV60_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131859,KNV60_gp15,KNV60_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131860,KNV60_gp02,KNV60_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131861,KNV60_gp03,KNV60_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131862,KNV60_gp04,KNV60_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131863,KNV60_gp05,KNV60_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131864,KNV60_gp06,KNV60_gp06,-,-,-,-,"thymidylate synthase, flavin-dependent",protein-coding,-,-,-,"thymidylate synthase, flavin-dependent",20210608,-
2772093,65131865,KNV60_gp07,KNV60_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131866,KNV60_gp08,KNV60_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131867,KNV60_gp09,KNV60_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131868,KNV60_gp10,KNV60_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131869,KNV60_gp11,KNV60_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
