#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448273,19685194,HH33_gp02,HH33_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1448273,19685195,HH33_gp03,HH33_gp03,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20201221,-
1448273,19685196,HH33_gp04,HH33_gp04,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685197,HH33_gp05,HH33_gp05,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685198,HH33_gp06,HH33_gp06,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685199,HH33_gp07,HH33_gp07,-,-,-,-,PblB-type antireceptor,protein-coding,-,-,-,PblB-type antireceptor,20200629,-
1448273,19685200,HH33_gp08,HH33_gp08,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685201,HH33_gp09,HH33_gp09,-,-,-,-,putative structural phage protein,protein-coding,-,-,-,putative structural phage protein,20200629,-
1448273,19685202,HH33_gp10,HH33_gp10,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685203,HH33_gp11,HH33_gp11,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685204,HH33_gp12,HH33_gp12,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1448273,19685205,HH33_gp13,HH33_gp13,-,-,-,-,DUF3168 phage protein,protein-coding,-,-,-,DUF3168 phage protein,20200629,-
1448273,19685206,HH33_gp14,HH33_gp14,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20200629,-
1448273,19685207,HH33_gp15,HH33_gp15,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685208,HH33_gp16,HH33_gp16,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685209,HH33_gp17,HH33_gp17,-,-,-,-,Rho termination factor N-terminal domain-containing protein,protein-coding,-,-,-,Rho termination factor N-terminal domain-containing protein,20210417,-
1448273,19685210,HH33_gp18,HH33_gp18,-,-,-,-,N4-gp56 family major capsid protein,protein-coding,-,-,-,N4-gp56 family major capsid protein,20210417,-
1448273,19685211,HH33_gp19,HH33_gp19,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1448273,19685212,HH33_gp20,HH33_gp20,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685213,HH33_gp21,HH33_gp21,-,-,-,-,putative minor head phage protein,protein-coding,-,-,-,putative minor head phage protein,20200629,-
1448273,19685214,HH33_gp22,HH33_gp22,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1448273,19685215,HH33_gp23,HH33_gp23,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1448273,19685216,HH33_gp24,HH33_gp24,-,-,-,-,"phage terminase, small subunit",protein-coding,-,-,-,"phage terminase, small subunit",20200629,-
1448273,19685217,HH33_gp25,HH33_gp25,-,-,-,-,DUF1492 domain-containing protein,protein-coding,-,-,-,DUF1492 domain-containing protein,20201221,-
1448273,19685218,HH33_gp26,HH33_gp26,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685219,HH33_gp27,HH33_gp27,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201221,-
1448273,19685220,HH33_gp28,HH33_gp28,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685221,HH33_gp29,HH33_gp29,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685222,HH33_gp30,HH33_gp30,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1448273,19685223,HH33_gp31,HH33_gp31,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685224,HH33_gp32,HH33_gp32,-,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210424,-
1448273,19685225,HH33_gp33,HH33_gp33,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
1448273,19685226,HH33_gp34,HH33_gp34,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685227,HH33_gp35,HH33_gp35,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
